leader,epoch,num_slots
HUX9ouTwpNGCqN9hEgzv1KkvQyJjb6pCuyYw5WCifWzM,668,36
88K3vd8E7f2jXBwfNspzAYXKZuS7erF1w2wk3qcHTSfh,668,32
HVXXmNKkmDZbZwj74iL2Y9Wu4SyrchBoxAfFYVAktLrG,668,16
6cgsK8ph5tNUCiKG5WXLMZFX1CoL4jzuVouTPBwPC8fk,668,56
4Yr8jy3Gcwz3pkbsoiJmmHvytxenRoTawoVbr69knj1C,668,48
SoLiDDAQBEK1LK8apZcZqY7FunqeqDY6nYXMabQZvPB,668,36
XkCriyrNwS3G4rzAXtG5B1nnvb5Ka1JtCku93VqeKAr,668,2972
mLyfgvyTAuEBVyAZcqyWKJ4SnM88Tqv2hFMy68y8hmY,668,280
A4fxKaaNPBCaMwqKyhHxoWKJ5ybgvmmwTQmNmGtt2aoC,668,44
8jAft2jnKtjx9MQNtiR9cE3RxrsaL8sjJJgCbHAd1XeS,668,44
caraQ1NEwdXDjP8RE28XhiPmzCGNqF5zLNqvjoeDNQ3,668,172
8gcMmaEAXfRZKcXHeHV2x8R1ebb78inTr9xhhEuNNoTt,668,56
hN6om5PAp87yuy5UcVbwn5fXhWF3pEJcarFGXe4c6XQ,668,32
2vTeoSz2wvZfrzigJr6yswdRZnDeM3VHC2gvvmHwTnoB,668,8
DWaYTNmFZLXGhYo51orrHNotqE3q3S6L2paQikYMrKrw,668,48
6p5sKuoNsipkg4TZdtHefFYWBDiMLKeLfQQjp24ztu2d,668,44
CmXajDrDRcDaYCNf2CBZnqXJj1t88gdjbTksWk8VUDLX,668,212
AYY1TCe347UZ7zueBmF4MyoFkeEZquRUNVBNoUZiRoew,668,4
87aa82cCUqVUWza4WvGk4wNTRJ1aZzugUvch74r7gHQd,668,4
3XYpu62U669RoyiPwYykJfJZdkuo2dF3X6p4BBMFD7JH,668,40
5NMUFJ3gJxGw7tqJToRUghX8VAp75KKN2QdECZXbQoT7,668,60
4PzTWXMsSY8ueuEZvcyVWhHHeMy8sHp5SqDtT4ReoZyi,668,144
Ft7vbKXZULMQyfxCaMUzbMx55YyDbAHP8WzaWfJpty4q,668,48
