address,close,high,low,open,type,ts,volume,currency,date,interval
CsL8LCE5rC8NQqESvWHQSBSNKb92MWcjg9AZRP5s1ELp,4.317718679805487e-06,4.317718679805487e-06,4.31564810324941e-06,4.31564810324941e-06,1m,1749416400,96123.0,usd,2025-06-08,1m
CsL8LCE5rC8NQqESvWHQSBSNKb92MWcjg9AZRP5s1ELp,4.317718679805487e-06,4.317718679805487e-06,4.317718679805487e-06,4.317718679805487e-06,1m,1749416460,0.0,usd,2025-06-08,1m
CsL8LCE5rC8NQqESvWHQSBSNKb92MWcjg9AZRP5s1ELp,4.317718679805487e-06,4.317718679805487e-06,4.317718679805487e-06,4.317718679805487e-06,1m,1749416520,0.0,usd,2025-06-08,1m
CsL8LCE5rC8NQqESvWHQSBSNKb92MWcjg9AZRP5s1ELp,4.317718679805487e-06,4.317718679805487e-06,4.317718679805487e-06,4.317718679805487e-06,1m,1749416580,0.0,usd,2025-06-08,1m
CsL8LCE5rC8NQqESvWHQSBSNKb92MWcjg9AZRP5s1ELp,4.317718679805487e-06,4.317718679805487e-06,4.317718679805487e-06,4.317718679805487e-06,1m,1749416640,0.0,usd,2025-06-08,1m
CsL8LCE5rC8NQqESvWHQSBSNKb92MWcjg9AZRP5s1ELp,4.31981096249596e-06,4.31981096249596e-06,4.317718679805487e-06,4.317718679805487e-06,1m,1749416700,71509.551007,usd,2025-06-08,1m
CsL8LCE5rC8NQqESvWHQSBSNKb92MWcjg9AZRP5s1ELp,4.31981096249596e-06,4.31981096249596e-06,4.31981096249596e-06,4.31981096249596e-06,1m,1749416760,0.0,usd,2025-06-08,1m
CsL8LCE5rC8NQqESvWHQSBSNKb92MWcjg9AZRP5s1ELp,4.31981096249596e-06,4.31981096249596e-06,4.31981096249596e-06,4.31981096249596e-06,1m,1749416820,0.0,usd,2025-06-08,1m
CsL8LCE5rC8NQqESvWHQSBSNKb92MWcjg9AZRP5s1ELp,4.31981096249596e-06,4.31981096249596e-06,4.31981096249596e-06,4.31981096249596e-06,1m,1749416880,0.0,usd,2025-06-08,1m
CsL8LCE5rC8NQqESvWHQSBSNKb92MWcjg9AZRP5s1ELp,4.31981096249596e-06,4.31981096249596e-06,4.31981096249596e-06,4.31981096249596e-06,1m,1749416940,0.0,usd,2025-06-08,1m
CsL8LCE5rC8NQqESvWHQSBSNKb92MWcjg9AZRP5s1ELp,4.31981096249596e-06,4.31981096249596e-06,4.31981096249596e-06,4.31981096249596e-06,1m,1749417000,0.0,usd,2025-06-08,1m
