address,high,open,low,close,type,volume,ts,currency,date,interval
8jnvAh2JWSDJw3FUwUc6AQagqEJsYjJ2rNRHj5zcpump,4.050883313456244e-06,4.050883313456244e-06,4.050883313456244e-06,4.050883313456244e-06,1m,0.0,1750643100,usd,2025-06-23,1m
8jnvAh2JWSDJw3FUwUc6AQagqEJsYjJ2rNRHj5zcpump,4.90402060815405e-06,4.050883313456244e-06,4.050883313456244e-06,4.90402060815405e-06,1m,138592986.95837697,1750643160,usd,2025-06-23,1m
8jnvAh2JWSDJw3FUwUc6AQagqEJsYjJ2rNRHj5zcpump,4.90402060815405e-06,4.90402060815405e-06,4.087258197314802e-06,4.580507879912678e-06,1m,169552628.28448397,1750643220,usd,2025-06-23,1m
8jnvAh2JWSDJw3FUwUc6AQagqEJsYjJ2rNRHj5zcpump,4.580507879912678e-06,4.580507879912678e-06,4.501966919204958e-06,4.501966919204958e-06,1m,15162937.13969,1750643280,usd,2025-06-23,1m
8jnvAh2JWSDJw3FUwUc6AQagqEJsYjJ2rNRHj5zcpump,4.501966919204958e-06,4.501966919204958e-06,4.501966919204958e-06,4.501966919204958e-06,1m,0.0,1750643340,usd,2025-06-23,1m
8jnvAh2JWSDJw3FUwUc6AQagqEJsYjJ2rNRHj5zcpump,4.501966919204958e-06,4.501966919204958e-06,4.345659781661568e-06,4.345659781661568e-06,1m,19794235.16794,1750643400,usd,2025-06-23,1m
8jnvAh2JWSDJw3FUwUc6AQagqEJsYjJ2rNRHj5zcpump,4.345659781661568e-06,4.345659781661568e-06,4.345659781661568e-06,4.345659781661568e-06,1m,0.0,1750643460,usd,2025-06-23,1m
8jnvAh2JWSDJw3FUwUc6AQagqEJsYjJ2rNRHj5zcpump,4.345659781661568e-06,4.345659781661568e-06,4.345659781661568e-06,4.345659781661568e-06,1m,0.0,1750643520,usd,2025-06-23,1m
8jnvAh2JWSDJw3FUwUc6AQagqEJsYjJ2rNRHj5zcpump,4.345659781661568e-06,4.345659781661568e-06,4.345659781661568e-06,4.345659781661568e-06,1m,0.0,1750643580,usd,2025-06-23,1m
8jnvAh2JWSDJw3FUwUc6AQagqEJsYjJ2rNRHj5zcpump,4.345659781661568e-06,4.345659781661568e-06,4.345659781661568e-06,4.345659781661568e-06,1m,0.0,1750643640,usd,2025-06-23,1m
8jnvAh2JWSDJw3FUwUc6AQagqEJsYjJ2rNRHj5zcpump,4.345659781661568e-06,4.345659781661568e-06,4.345659781661568e-06,4.345659781661568e-06,1m,0.0,1750643700,usd,2025-06-23,1m
8jnvAh2JWSDJw3FUwUc6AQagqEJsYjJ2rNRHj5zcpump,4.395697814620946e-06,4.345659781661568e-06,4.345659781661568e-06,4.395697814620946e-06,1m,30231698.030758,1750643760,usd,2025-06-23,1m
8jnvAh2JWSDJw3FUwUc6AQagqEJsYjJ2rNRHj5zcpump,4.395697814620946e-06,4.395697814620946e-06,4.395697814620946e-06,4.395697814620946e-06,1m,0.0,1750643820,usd,2025-06-23,1m
8jnvAh2JWSDJw3FUwUc6AQagqEJsYjJ2rNRHj5zcpump,4.395697814620946e-06,4.395697814620946e-06,4.395697814620946e-06,4.395697814620946e-06,1m,0.0,1750643880,usd,2025-06-23,1m
8jnvAh2JWSDJw3FUwUc6AQagqEJsYjJ2rNRHj5zcpump,4.395697814620946e-06,4.395697814620946e-06,4.395697814620946e-06,4.395697814620946e-06,1m,0.0,1750643940,usd,2025-06-23,1m
8jnvAh2JWSDJw3FUwUc6AQagqEJsYjJ2rNRHj5zcpump,4.395697814620946e-06,4.395697814620946e-06,4.395697814620946e-06,4.395697814620946e-06,1m,0.0,1750644000,usd,2025-06-23,1m
8jnvAh2JWSDJw3FUwUc6AQagqEJsYjJ2rNRHj5zcpump,4.395697814620946e-06,4.395697814620946e-06,4.395697814620946e-06,4.395697814620946e-06,1m,0.0,1750644060,usd,2025-06-23,1m
8jnvAh2JWSDJw3FUwUc6AQagqEJsYjJ2rNRHj5zcpump,4.395697814620946e-06,4.395697814620946e-06,4.395697814620946e-06,4.395697814620946e-06,1m,0.0,1750644120,usd,2025-06-23,1m
8jnvAh2JWSDJw3FUwUc6AQagqEJsYjJ2rNRHj5zcpump,4.395697814620946e-06,4.395697814620946e-06,4.395697814620946e-06,4.395697814620946e-06,1m,0.0,1750644180,usd,2025-06-23,1m
8jnvAh2JWSDJw3FUwUc6AQagqEJsYjJ2rNRHj5zcpump,4.395697814620946e-06,4.395697814620946e-06,4.395697814620946e-06,4.395697814620946e-06,1m,0.0,1750644240,usd,2025-06-23,1m
8jnvAh2JWSDJw3FUwUc6AQagqEJsYjJ2rNRHj5zcpump,4.395697814620946e-06,4.395697814620946e-06,4.395697814620946e-06,4.395697814620946e-06,1m,0.0,1750644300,usd,2025-06-23,1m
8jnvAh2JWSDJw3FUwUc6AQagqEJsYjJ2rNRHj5zcpump,4.395697814620946e-06,4.395697814620946e-06,4.395697814620946e-06,4.395697814620946e-06,1m,0.0,1750644360,usd,2025-06-23,1m
