address,high,open,low,close,type,volume,ts,currency,date
83KqbsA7isomxL5yoeqfTTh1wtt2ks1QHjzMYqSPpump,3.5676456918380847e-06,3.5676456918380847e-06,3.5676456918380847e-06,3.5676456918380847e-06,12H,0,1763769600,usd,2025-11-22
83KqbsA7isomxL5yoeqfTTh1wtt2ks1QHjzMYqSPpump,3.5676456918380847e-06,3.5676456918380847e-06,3.5676456918380847e-06,3.5676456918380847e-06,12H,0,1763812800,usd,2025-11-22
83KqbsA7isomxL5yoeqfTTh1wtt2ks1QHjzMYqSPpump,3.5676456918380847e-06,3.5676456918380847e-06,3.5676456918380847e-06,3.5676456918380847e-06,12H,0,1763856000,usd,2025-11-23
83KqbsA7isomxL5yoeqfTTh1wtt2ks1QHjzMYqSPpump,3.5676456918380847e-06,3.5676456918380847e-06,3.5676456918380847e-06,3.5676456918380847e-06,12H,0,1763899200,usd,2025-11-23
83KqbsA7isomxL5yoeqfTTh1wtt2ks1QHjzMYqSPpump,3.5676456918380847e-06,3.5676456918380847e-06,3.5676456918380847e-06,3.5676456918380847e-06,12H,0,1763942400,usd,2025-11-24
83KqbsA7isomxL5yoeqfTTh1wtt2ks1QHjzMYqSPpump,3.5676456918380847e-06,3.5676456918380847e-06,3.5676456918380847e-06,3.5676456918380847e-06,12H,0,1763985600,usd,2025-11-24
83KqbsA7isomxL5yoeqfTTh1wtt2ks1QHjzMYqSPpump,3.5676456918380847e-06,3.5676456918380847e-06,3.5676456918380847e-06,3.5676456918380847e-06,12H,0,1764028800,usd,2025-11-25
83KqbsA7isomxL5yoeqfTTh1wtt2ks1QHjzMYqSPpump,3.5676456918380847e-06,3.5676456918380847e-06,3.5676456918380847e-06,3.5676456918380847e-06,12H,0,1764072000,usd,2025-11-25
83KqbsA7isomxL5yoeqfTTh1wtt2ks1QHjzMYqSPpump,3.5676456918380847e-06,3.5676456918380847e-06,3.5676456918380847e-06,3.5676456918380847e-06,12H,0,1764115200,usd,2025-11-26
83KqbsA7isomxL5yoeqfTTh1wtt2ks1QHjzMYqSPpump,3.5676456918380847e-06,3.5676456918380847e-06,3.5676456918380847e-06,3.5676456918380847e-06,12H,0,1764158400,usd,2025-11-26
83KqbsA7isomxL5yoeqfTTh1wtt2ks1QHjzMYqSPpump,3.5676456918380847e-06,3.5676456918380847e-06,3.5676456918380847e-06,3.5676456918380847e-06,12H,0,1764201600,usd,2025-11-27
83KqbsA7isomxL5yoeqfTTh1wtt2ks1QHjzMYqSPpump,3.5676456918380847e-06,3.5676456918380847e-06,3.5676456918380847e-06,3.5676456918380847e-06,12H,0,1764244800,usd,2025-11-27
83KqbsA7isomxL5yoeqfTTh1wtt2ks1QHjzMYqSPpump,3.5676456918380847e-06,3.5676456918380847e-06,3.5676456918380847e-06,3.5676456918380847e-06,12H,0,1764288000,usd,2025-11-28
83KqbsA7isomxL5yoeqfTTh1wtt2ks1QHjzMYqSPpump,3.5676456918380847e-06,3.5676456918380847e-06,3.5676456918380847e-06,3.5676456918380847e-06,12H,0,1764331200,usd,2025-11-28
83KqbsA7isomxL5yoeqfTTh1wtt2ks1QHjzMYqSPpump,3.5676456918380847e-06,3.5676456918380847e-06,3.5676456918380847e-06,3.5676456918380847e-06,12H,0,1764374400,usd,2025-11-29
83KqbsA7isomxL5yoeqfTTh1wtt2ks1QHjzMYqSPpump,3.5676456918380847e-06,3.5676456918380847e-06,3.5676456918380847e-06,3.5676456918380847e-06,12H,0,1764417600,usd,2025-11-29
83KqbsA7isomxL5yoeqfTTh1wtt2ks1QHjzMYqSPpump,3.5676456918380847e-06,3.5676456918380847e-06,3.5676456918380847e-06,3.5676456918380847e-06,12H,0,1764460800,usd,2025-11-30
83KqbsA7isomxL5yoeqfTTh1wtt2ks1QHjzMYqSPpump,3.5676456918380847e-06,3.5676456918380847e-06,3.5676456918380847e-06,3.5676456918380847e-06,12H,0,1764504000,usd,2025-11-30
83KqbsA7isomxL5yoeqfTTh1wtt2ks1QHjzMYqSPpump,3.5676456918380847e-06,3.5676456918380847e-06,3.5676456918380847e-06,3.5676456918380847e-06,12H,0,1764547200,usd,2025-12-01
83KqbsA7isomxL5yoeqfTTh1wtt2ks1QHjzMYqSPpump,3.5676456918380847e-06,3.5676456918380847e-06,3.5676456918380847e-06,3.5676456918380847e-06,12H,0,1764590400,usd,2025-12-01
