address,close,high,low,open,type,ts,volume,currency,date
62vEk8gexgLHVNNkvur71aWRyhmQPvhe95mzprHKpump,5.695563947401869e-06,0.000712540194927548,4.993175677305607e-06,9.315751156607858e-06,12H,1741262400,9244393784.842836,usd,2025-03-06
62vEk8gexgLHVNNkvur71aWRyhmQPvhe95mzprHKpump,5.443594127689516e-06,5.9591051018090935e-06,3.6428600189115086e-06,5.695563947401869e-06,12H,1741305600,482833356.6418251,usd,2025-03-07
62vEk8gexgLHVNNkvur71aWRyhmQPvhe95mzprHKpump,2.92971315774695e-05,3.421066224624666e-05,5.443594127689516e-06,5.443594127689516e-06,12H,1741348800,530871370.00013375,usd,2025-03-07
62vEk8gexgLHVNNkvur71aWRyhmQPvhe95mzprHKpump,2.6677550870805625e-05,2.92971315774695e-05,2.6677550870805625e-05,2.92971315774695e-05,12H,1741392000,18012625.544828,usd,2025-03-08
62vEk8gexgLHVNNkvur71aWRyhmQPvhe95mzprHKpump,2.383629733321245e-05,2.6677550870805625e-05,2.383629733321245e-05,2.6677550870805625e-05,12H,1741435200,27564877.775997993,usd,2025-03-08
62vEk8gexgLHVNNkvur71aWRyhmQPvhe95mzprHKpump,2.3996006520536785e-05,2.4012677979491097e-05,2.378591789514082e-05,2.383629733321245e-05,12H,1741478400,1547972.5233990003,usd,2025-03-09
62vEk8gexgLHVNNkvur71aWRyhmQPvhe95mzprHKpump,2.1650717773003483e-05,2.3996006520536785e-05,2.1650717773003483e-05,2.3996006520536785e-05,12H,1741521600,1510645.859029,usd,2025-03-09
62vEk8gexgLHVNNkvur71aWRyhmQPvhe95mzprHKpump,2.1428883630660676e-05,2.1650717773003483e-05,2.1397057349938816e-05,2.1650717773003483e-05,12H,1741564800,2300738.687183,usd,2025-03-10
62vEk8gexgLHVNNkvur71aWRyhmQPvhe95mzprHKpump,1.902788349834821e-05,2.1428883630660676e-05,1.902788349834821e-05,2.1428883630660676e-05,12H,1741608000,5484725.441757,usd,2025-03-10
62vEk8gexgLHVNNkvur71aWRyhmQPvhe95mzprHKpump,1.957894679441626e-05,1.957894679441626e-05,1.902788349834821e-05,1.902788349834821e-05,12H,1741651200,69720.29902800001,usd,2025-03-11
62vEk8gexgLHVNNkvur71aWRyhmQPvhe95mzprHKpump,8.833253941682838e-06,2.044130120834959e-05,8.811976650302185e-06,1.957894679441626e-05,12H,1741694400,213316858.05933002,usd,2025-03-11
62vEk8gexgLHVNNkvur71aWRyhmQPvhe95mzprHKpump,9.02223858993458e-06,9.20858120227301e-06,8.833253941682838e-06,8.833253941682838e-06,12H,1741737600,13491578.059865,usd,2025-03-12
62vEk8gexgLHVNNkvur71aWRyhmQPvhe95mzprHKpump,9.440351751171474e-06,9.440351751171474e-06,9.02223858993458e-06,9.02223858993458e-06,12H,1741780800,5004584.977713,usd,2025-03-12
62vEk8gexgLHVNNkvur71aWRyhmQPvhe95mzprHKpump,9.264648782864673e-06,9.440351751171474e-06,9.264648782864673e-06,9.440351751171474e-06,12H,1741824000,1012051.856899,usd,2025-03-13
62vEk8gexgLHVNNkvur71aWRyhmQPvhe95mzprHKpump,9.209061815491588e-06,9.264648782864673e-06,9.209061815491588e-06,9.264648782864673e-06,12H,1741867200,23725.882555000004,usd,2025-03-13
62vEk8gexgLHVNNkvur71aWRyhmQPvhe95mzprHKpump,9.416220105319795e-06,9.416220105319795e-06,9.209061815491588e-06,9.209061815491588e-06,12H,1741910400,426089.018277,usd,2025-03-14
62vEk8gexgLHVNNkvur71aWRyhmQPvhe95mzprHKpump,9.672195580552938e-06,9.696609358350522e-06,9.416220105319795e-06,9.416220105319795e-06,12H,1741953600,209786.419484,usd,2025-03-14
62vEk8gexgLHVNNkvur71aWRyhmQPvhe95mzprHKpump,9.672195580552938e-06,9.672195580552938e-06,9.672195580552938e-06,9.672195580552938e-06,12H,1741996800,0.0,usd,2025-03-15
62vEk8gexgLHVNNkvur71aWRyhmQPvhe95mzprHKpump,1.0056751299770707e-05,1.0056751299770707e-05,9.672195580552938e-06,9.672195580552938e-06,12H,1742040000,116042.377844,usd,2025-03-15
62vEk8gexgLHVNNkvur71aWRyhmQPvhe95mzprHKpump,1.0174821861337892e-05,1.0174821861337892e-05,1.0056751299770707e-05,1.0056751299770707e-05,12H,1742083200,1321794.207047,usd,2025-03-16
62vEk8gexgLHVNNkvur71aWRyhmQPvhe95mzprHKpump,1.0174821861337892e-05,1.0174821861337892e-05,1.0174821861337892e-05,1.0174821861337892e-05,12H,1742126400,0.0,usd,2025-03-16
62vEk8gexgLHVNNkvur71aWRyhmQPvhe95mzprHKpump,1.0174821861337892e-05,1.0174821861337892e-05,1.0174821861337892e-05,1.0174821861337892e-05,12H,1742169600,0.0,usd,2025-03-17
62vEk8gexgLHVNNkvur71aWRyhmQPvhe95mzprHKpump,8.580037407129141e-06,1.0174821861337892e-05,8.580037407129141e-06,1.0174821861337892e-05,12H,1742212800,33297128.413917,usd,2025-03-17
62vEk8gexgLHVNNkvur71aWRyhmQPvhe95mzprHKpump,8.186457365979224e-06,8.580037407129141e-06,8.186457365979224e-06,8.580037407129141e-06,12H,1742256000,1935166.200092,usd,2025-03-18
62vEk8gexgLHVNNkvur71aWRyhmQPvhe95mzprHKpump,8.186457365979224e-06,8.186457365979224e-06,8.186457365979224e-06,8.186457365979224e-06,12H,1742299200,0.0,usd,2025-03-18
62vEk8gexgLHVNNkvur71aWRyhmQPvhe95mzprHKpump,8.186457365979224e-06,8.186457365979224e-06,8.186457365979224e-06,8.186457365979224e-06,12H,1742342400,0.0,usd,2025-03-19
62vEk8gexgLHVNNkvur71aWRyhmQPvhe95mzprHKpump,8.709487318668524e-06,8.709487318668524e-06,8.186457365979224e-06,8.186457365979224e-06,12H,1742385600,3039132.8709110003,usd,2025-03-19
62vEk8gexgLHVNNkvur71aWRyhmQPvhe95mzprHKpump,8.68285753247983e-06,8.718319674255993e-06,8.68285753247983e-06,8.709487318668524e-06,12H,1742428800,611180.376597,usd,2025-03-20
62vEk8gexgLHVNNkvur71aWRyhmQPvhe95mzprHKpump,8.68285753247983e-06,8.68285753247983e-06,8.68285753247983e-06,8.68285753247983e-06,12H,1742472000,0.0,usd,2025-03-20
62vEk8gexgLHVNNkvur71aWRyhmQPvhe95mzprHKpump,8.281614174355814e-06,8.68285753247983e-06,8.281614174355814e-06,8.68285753247983e-06,12H,1742515200,2261455.317713,usd,2025-03-21
62vEk8gexgLHVNNkvur71aWRyhmQPvhe95mzprHKpump,8.281614174355814e-06,8.281614174355814e-06,8.281614174355814e-06,8.281614174355814e-06,12H,1742558400,0.0,usd,2025-03-21
62vEk8gexgLHVNNkvur71aWRyhmQPvhe95mzprHKpump,8.281614174355814e-06,8.281614174355814e-06,8.281614174355814e-06,8.281614174355814e-06,12H,1742601600,0.0,usd,2025-03-22
62vEk8gexgLHVNNkvur71aWRyhmQPvhe95mzprHKpump,8.281614174355814e-06,8.281614174355814e-06,8.281614174355814e-06,8.281614174355814e-06,12H,1742644800,0.0,usd,2025-03-22
62vEk8gexgLHVNNkvur71aWRyhmQPvhe95mzprHKpump,8.281614174355814e-06,8.281614174355814e-06,8.281614174355814e-06,8.281614174355814e-06,12H,1742688000,0.0,usd,2025-03-23
62vEk8gexgLHVNNkvur71aWRyhmQPvhe95mzprHKpump,8.281614174355814e-06,8.281614174355814e-06,8.281614174355814e-06,8.281614174355814e-06,12H,1742731200,0.0,usd,2025-03-23
62vEk8gexgLHVNNkvur71aWRyhmQPvhe95mzprHKpump,8.281614174355814e-06,8.281614174355814e-06,8.281614174355814e-06,8.281614174355814e-06,12H,1742774400,0.0,usd,2025-03-24
62vEk8gexgLHVNNkvur71aWRyhmQPvhe95mzprHKpump,9.101498743441226e-06,9.101498743441226e-06,8.281614174355814e-06,8.281614174355814e-06,12H,1742817600,5000000.0,usd,2025-03-24
62vEk8gexgLHVNNkvur71aWRyhmQPvhe95mzprHKpump,8.668226558855194e-06,9.101498743441226e-06,8.634346975846766e-06,9.101498743441226e-06,12H,1742860800,17825522.146582,usd,2025-03-25
62vEk8gexgLHVNNkvur71aWRyhmQPvhe95mzprHKpump,8.966084220756837e-06,8.966084220756837e-06,8.668226558855194e-06,8.668226558855194e-06,12H,1742904000,4000000.0,usd,2025-03-25
62vEk8gexgLHVNNkvur71aWRyhmQPvhe95mzprHKpump,9.060258846224221e-06,9.060258846224221e-06,8.908508354353853e-06,8.966084220756837e-06,12H,1742947200,4632228.8542329995,usd,2025-03-26
62vEk8gexgLHVNNkvur71aWRyhmQPvhe95mzprHKpump,9.060258846224221e-06,9.060258846224221e-06,9.060258846224221e-06,9.060258846224221e-06,12H,1742990400,0.0,usd,2025-03-26
62vEk8gexgLHVNNkvur71aWRyhmQPvhe95mzprHKpump,8.667257249598304e-06,9.060258846224221e-06,8.667257249598304e-06,9.060258846224221e-06,12H,1743033600,1633289.433637,usd,2025-03-27
62vEk8gexgLHVNNkvur71aWRyhmQPvhe95mzprHKpump,8.615238493731996e-06,8.667257249598304e-06,8.615238493731996e-06,8.667257249598304e-06,12H,1743076800,4000000.0,usd,2025-03-27
62vEk8gexgLHVNNkvur71aWRyhmQPvhe95mzprHKpump,8.615238493731996e-06,8.615238493731996e-06,8.615238493731996e-06,8.615238493731996e-06,12H,1743120000,0.0,usd,2025-03-28
62vEk8gexgLHVNNkvur71aWRyhmQPvhe95mzprHKpump,8.615238493731996e-06,8.615238493731996e-06,8.615238493731996e-06,8.615238493731996e-06,12H,1743163200,0.0,usd,2025-03-28
62vEk8gexgLHVNNkvur71aWRyhmQPvhe95mzprHKpump,8.615238493731996e-06,8.615238493731996e-06,8.615238493731996e-06,8.615238493731996e-06,12H,1743206400,0.0,usd,2025-03-29
62vEk8gexgLHVNNkvur71aWRyhmQPvhe95mzprHKpump,8.615238493731996e-06,8.615238493731996e-06,8.615238493731996e-06,8.615238493731996e-06,12H,1743249600,0.0,usd,2025-03-29
62vEk8gexgLHVNNkvur71aWRyhmQPvhe95mzprHKpump,8.615238493731996e-06,8.615238493731996e-06,8.615238493731996e-06,8.615238493731996e-06,12H,1743292800,0.0,usd,2025-03-30
62vEk8gexgLHVNNkvur71aWRyhmQPvhe95mzprHKpump,7.742460403729597e-06,8.615238493731996e-06,7.742460403729597e-06,8.615238493731996e-06,12H,1743336000,1000000.0,usd,2025-03-30
62vEk8gexgLHVNNkvur71aWRyhmQPvhe95mzprHKpump,7.742460403729597e-06,7.742460403729597e-06,7.742460403729597e-06,7.742460403729597e-06,12H,1743379200,0.0,usd,2025-03-31
62vEk8gexgLHVNNkvur71aWRyhmQPvhe95mzprHKpump,7.742460403729597e-06,7.742460403729597e-06,7.742460403729597e-06,7.742460403729597e-06,12H,1743422400,0.0,usd,2025-03-31
62vEk8gexgLHVNNkvur71aWRyhmQPvhe95mzprHKpump,7.80657032176835e-06,7.854191442482551e-06,7.742460403729597e-06,7.742460403729597e-06,12H,1743465600,1604298.203712,usd,2025-04-01
62vEk8gexgLHVNNkvur71aWRyhmQPvhe95mzprHKpump,7.80657032176835e-06,7.80657032176835e-06,7.80657032176835e-06,7.80657032176835e-06,12H,1743508800,0.0,usd,2025-04-01
62vEk8gexgLHVNNkvur71aWRyhmQPvhe95mzprHKpump,7.688552347277259e-06,7.80657032176835e-06,7.688552347277259e-06,7.80657032176835e-06,12H,1743552000,185199.906408,usd,2025-04-02
62vEk8gexgLHVNNkvur71aWRyhmQPvhe95mzprHKpump,7.688552347277259e-06,7.688552347277259e-06,7.688552347277259e-06,7.688552347277259e-06,12H,1743595200,0.0,usd,2025-04-02
62vEk8gexgLHVNNkvur71aWRyhmQPvhe95mzprHKpump,7.37356149777359e-06,7.688552347277259e-06,7.37356149777359e-06,7.688552347277259e-06,12H,1743638400,1782330.927315,usd,2025-04-03
62vEk8gexgLHVNNkvur71aWRyhmQPvhe95mzprHKpump,7.029162952830223e-06,7.37356149777359e-06,6.999638996996849e-06,7.37356149777359e-06,12H,1743681600,9238226.141196,usd,2025-04-03
62vEk8gexgLHVNNkvur71aWRyhmQPvhe95mzprHKpump,7.029162952830223e-06,7.029162952830223e-06,7.029162952830223e-06,7.029162952830223e-06,12H,1743724800,0.0,usd,2025-04-04
62vEk8gexgLHVNNkvur71aWRyhmQPvhe95mzprHKpump,7.029162952830223e-06,7.029162952830223e-06,7.029162952830223e-06,7.029162952830223e-06,12H,1743768000,0.0,usd,2025-04-04
62vEk8gexgLHVNNkvur71aWRyhmQPvhe95mzprHKpump,7.258152437375894e-06,7.258152437375894e-06,7.029162952830223e-06,7.029162952830223e-06,12H,1743811200,2507461.249948,usd,2025-04-05
62vEk8gexgLHVNNkvur71aWRyhmQPvhe95mzprHKpump,7.0838496491447095e-06,7.896213364361945e-06,7.059313574958261e-06,7.258152437375894e-06,12H,1743854400,94801245.02164699,usd,2025-04-05
62vEk8gexgLHVNNkvur71aWRyhmQPvhe95mzprHKpump,1.0955255226020622e-05,1.2385680242300914e-05,7.0838496491447095e-06,7.0838496491447095e-06,12H,1743897600,443658970.32153904,usd,2025-04-06
62vEk8gexgLHVNNkvur71aWRyhmQPvhe95mzprHKpump,6.5652850553809126e-06,1.0955255226020622e-05,6.5652850553809126e-06,1.0955255226020622e-05,12H,1743940800,351853549.14473397,usd,2025-04-06
62vEk8gexgLHVNNkvur71aWRyhmQPvhe95mzprHKpump,6.397463133425923e-06,6.5652850553809126e-06,6.176791932987558e-06,6.5652850553809126e-06,12H,1743984000,5191991.015817,usd,2025-04-07
62vEk8gexgLHVNNkvur71aWRyhmQPvhe95mzprHKpump,6.397463133425923e-06,6.397463133425923e-06,6.397463133425923e-06,6.397463133425923e-06,12H,1744027200,0.0,usd,2025-04-07
62vEk8gexgLHVNNkvur71aWRyhmQPvhe95mzprHKpump,7.024234023369537e-06,7.1254263703096856e-06,6.397463133425923e-06,6.397463133425923e-06,12H,1744070400,1650953.822006,usd,2025-04-08
62vEk8gexgLHVNNkvur71aWRyhmQPvhe95mzprHKpump,7.024234023369537e-06,7.024234023369537e-06,7.024234023369537e-06,7.024234023369537e-06,12H,1744113600,0.0,usd,2025-04-08
