address,high,open,low,close,type,volume,ts,currency,date,interval
AicoDxy1dyqZYVXpuUutsBDGYJ9oseWtawDShYU1pump,7.104358658024457e-06,7.104358658024457e-06,7.104358658024457e-06,7.104358658024457e-06,1m,0,1758292440,usd,2025-09-19,1m
AicoDxy1dyqZYVXpuUutsBDGYJ9oseWtawDShYU1pump,7.104358658024457e-06,7.104358658024457e-06,7.104358658024457e-06,7.104358658024457e-06,1m,0,1758292500,usd,2025-09-19,1m
AicoDxy1dyqZYVXpuUutsBDGYJ9oseWtawDShYU1pump,7.104358658024457e-06,7.104358658024457e-06,7.104358658024457e-06,7.104358658024457e-06,1m,0,1758292560,usd,2025-09-19,1m
AicoDxy1dyqZYVXpuUutsBDGYJ9oseWtawDShYU1pump,7.104358658024457e-06,7.104358658024457e-06,7.104358658024457e-06,7.104358658024457e-06,1m,0,1758292620,usd,2025-09-19,1m
AicoDxy1dyqZYVXpuUutsBDGYJ9oseWtawDShYU1pump,7.104358658024457e-06,7.104358658024457e-06,7.104358658024457e-06,7.104358658024457e-06,1m,0,1758292680,usd,2025-09-19,1m
AicoDxy1dyqZYVXpuUutsBDGYJ9oseWtawDShYU1pump,7.104358658024457e-06,7.104358658024457e-06,7.104358658024457e-06,7.104358658024457e-06,1m,0,1758292740,usd,2025-09-19,1m
AicoDxy1dyqZYVXpuUutsBDGYJ9oseWtawDShYU1pump,7.104358658024457e-06,7.104358658024457e-06,7.104358658024457e-06,7.104358658024457e-06,1m,0,1758292800,usd,2025-09-19,1m
AicoDxy1dyqZYVXpuUutsBDGYJ9oseWtawDShYU1pump,7.104358658024457e-06,7.104358658024457e-06,7.104358658024457e-06,7.104358658024457e-06,1m,0,1758292860,usd,2025-09-19,1m
AicoDxy1dyqZYVXpuUutsBDGYJ9oseWtawDShYU1pump,7.104358658024457e-06,7.104358658024457e-06,7.104358658024457e-06,7.104358658024457e-06,1m,0,1758292920,usd,2025-09-19,1m
AicoDxy1dyqZYVXpuUutsBDGYJ9oseWtawDShYU1pump,7.104358658024457e-06,7.104358658024457e-06,7.104358658024457e-06,7.104358658024457e-06,1m,0,1758292980,usd,2025-09-19,1m
AicoDxy1dyqZYVXpuUutsBDGYJ9oseWtawDShYU1pump,7.104358658024457e-06,7.104358658024457e-06,7.104358658024457e-06,7.104358658024457e-06,1m,0,1758293040,usd,2025-09-19,1m
AicoDxy1dyqZYVXpuUutsBDGYJ9oseWtawDShYU1pump,7.104358658024457e-06,7.104358658024457e-06,7.104358658024457e-06,7.104358658024457e-06,1m,0,1758293100,usd,2025-09-19,1m
AicoDxy1dyqZYVXpuUutsBDGYJ9oseWtawDShYU1pump,7.104358658024457e-06,7.104358658024457e-06,7.104358658024457e-06,7.104358658024457e-06,1m,0,1758293160,usd,2025-09-19,1m
AicoDxy1dyqZYVXpuUutsBDGYJ9oseWtawDShYU1pump,7.104358658024457e-06,7.104358658024457e-06,7.104358658024457e-06,7.104358658024457e-06,1m,0,1758293220,usd,2025-09-19,1m
AicoDxy1dyqZYVXpuUutsBDGYJ9oseWtawDShYU1pump,7.104358658024457e-06,7.104358658024457e-06,7.104358658024457e-06,7.104358658024457e-06,1m,0,1758293280,usd,2025-09-19,1m
AicoDxy1dyqZYVXpuUutsBDGYJ9oseWtawDShYU1pump,7.104358658024457e-06,7.104358658024457e-06,7.104358658024457e-06,7.104358658024457e-06,1m,0,1758293340,usd,2025-09-19,1m
AicoDxy1dyqZYVXpuUutsBDGYJ9oseWtawDShYU1pump,7.104358658024457e-06,7.104358658024457e-06,7.104358658024457e-06,7.104358658024457e-06,1m,0,1758293400,usd,2025-09-19,1m
AicoDxy1dyqZYVXpuUutsBDGYJ9oseWtawDShYU1pump,7.104358658024457e-06,7.104358658024457e-06,7.104358658024457e-06,7.104358658024457e-06,1m,0,1758293460,usd,2025-09-19,1m
AicoDxy1dyqZYVXpuUutsBDGYJ9oseWtawDShYU1pump,7.104358658024457e-06,7.104358658024457e-06,7.104358658024457e-06,7.104358658024457e-06,1m,0,1758293520,usd,2025-09-19,1m
AicoDxy1dyqZYVXpuUutsBDGYJ9oseWtawDShYU1pump,7.104358658024457e-06,7.104358658024457e-06,7.104358658024457e-06,7.104358658024457e-06,1m,0,1758293580,usd,2025-09-19,1m
AicoDxy1dyqZYVXpuUutsBDGYJ9oseWtawDShYU1pump,7.104358658024457e-06,7.104358658024457e-06,7.104358658024457e-06,7.104358658024457e-06,1m,0,1758293640,usd,2025-09-19,1m
AicoDxy1dyqZYVXpuUutsBDGYJ9oseWtawDShYU1pump,7.104358658024457e-06,7.104358658024457e-06,7.104358658024457e-06,7.104358658024457e-06,1m,0,1758293700,usd,2025-09-19,1m
AicoDxy1dyqZYVXpuUutsBDGYJ9oseWtawDShYU1pump,7.104358658024457e-06,7.104358658024457e-06,7.104358658024457e-06,7.104358658024457e-06,1m,0,1758293760,usd,2025-09-19,1m
AicoDxy1dyqZYVXpuUutsBDGYJ9oseWtawDShYU1pump,7.104358658024457e-06,7.104358658024457e-06,7.104358658024457e-06,7.104358658024457e-06,1m,0,1758293820,usd,2025-09-19,1m
AicoDxy1dyqZYVXpuUutsBDGYJ9oseWtawDShYU1pump,7.104358658024457e-06,7.104358658024457e-06,7.104358658024457e-06,7.104358658024457e-06,1m,0,1758293880,usd,2025-09-19,1m
AicoDxy1dyqZYVXpuUutsBDGYJ9oseWtawDShYU1pump,7.104358658024457e-06,7.104358658024457e-06,7.104358658024457e-06,7.104358658024457e-06,1m,0,1758293940,usd,2025-09-19,1m
AicoDxy1dyqZYVXpuUutsBDGYJ9oseWtawDShYU1pump,7.104358658024457e-06,7.104358658024457e-06,7.104358658024457e-06,7.104358658024457e-06,1m,0,1758294000,usd,2025-09-19,1m
AicoDxy1dyqZYVXpuUutsBDGYJ9oseWtawDShYU1pump,7.104358658024457e-06,7.104358658024457e-06,7.104358658024457e-06,7.104358658024457e-06,1m,0,1758294060,usd,2025-09-19,1m
