address,close,high,low,open,type,ts,volume,currency,date
kKscdweZmtTLCKPc1EHZnZiEhCLuQHpjDdxpZrCpump,1.4871184635340324e-05,1.7858755230867655e-05,1.4621469936768501e-05,1.4866628124037973e-05,12H,1756598400,162648553.139516,usd,2025-08-31
kKscdweZmtTLCKPc1EHZnZiEhCLuQHpjDdxpZrCpump,1.2646051154669267e-05,2.4623722515350274e-05,1.2646051154669267e-05,1.4871184635340324e-05,12H,1756641600,606296507.775901,usd,2025-08-31
kKscdweZmtTLCKPc1EHZnZiEhCLuQHpjDdxpZrCpump,1.0319904747256005e-05,1.2646051154669267e-05,1.0087005343174345e-05,1.2646051154669267e-05,12H,1756684800,126747052.505401,usd,2025-09-01
kKscdweZmtTLCKPc1EHZnZiEhCLuQHpjDdxpZrCpump,6.251376490160459e-06,1.0319904747256005e-05,6.251376490160459e-06,1.0319904747256005e-05,12H,1756728000,219940672.73562104,usd,2025-09-01
kKscdweZmtTLCKPc1EHZnZiEhCLuQHpjDdxpZrCpump,6.777593589781853e-06,6.86798896724943e-06,6.251376490160459e-06,6.251376490160459e-06,12H,1756771200,116799641.487761,usd,2025-09-02
kKscdweZmtTLCKPc1EHZnZiEhCLuQHpjDdxpZrCpump,6.5210947084215895e-06,6.777593589781853e-06,6.326853301387819e-06,6.777593589781853e-06,12H,1756814400,47352689.366236,usd,2025-09-02
kKscdweZmtTLCKPc1EHZnZiEhCLuQHpjDdxpZrCpump,6.65709209963684e-06,6.65709209963684e-06,6.5210947084215895e-06,6.5210947084215895e-06,12H,1756857600,10954283.610211,usd,2025-09-03
kKscdweZmtTLCKPc1EHZnZiEhCLuQHpjDdxpZrCpump,6.043076730251169e-06,6.65709209963684e-06,6.043076730251169e-06,6.65709209963684e-06,12H,1756900800,47578226.611990005,usd,2025-09-03
kKscdweZmtTLCKPc1EHZnZiEhCLuQHpjDdxpZrCpump,6.043076730251169e-06,6.043076730251169e-06,6.043076730251169e-06,6.043076730251169e-06,12H,1756944000,0.0,usd,2025-09-04
kKscdweZmtTLCKPc1EHZnZiEhCLuQHpjDdxpZrCpump,6.043076730251169e-06,6.043076730251169e-06,6.043076730251169e-06,6.043076730251169e-06,12H,1756987200,0.001373,usd,2025-09-04
kKscdweZmtTLCKPc1EHZnZiEhCLuQHpjDdxpZrCpump,6.043076730251169e-06,6.043076730251169e-06,6.043076730251169e-06,6.043076730251169e-06,12H,1757030400,0.0,usd,2025-09-05
kKscdweZmtTLCKPc1EHZnZiEhCLuQHpjDdxpZrCpump,6.184471689013748e-06,6.185827962470537e-06,6.043076730251169e-06,6.043076730251169e-06,12H,1757073600,67027185.505672,usd,2025-09-05
kKscdweZmtTLCKPc1EHZnZiEhCLuQHpjDdxpZrCpump,6.184471689013748e-06,6.184471689013748e-06,6.184471689013748e-06,6.184471689013748e-06,12H,1757116800,0.0,usd,2025-09-06
