address,close,high,low,open,type,ts,volume,currency,date
7M78L6aosDNfkR7f3JWi6sRKEPotQANsUu6oP9n9pump,1.0537626209374793e-05,6.195207888446268e-05,8.365720176105224e-06,4.994319428557993e-05,12H,1762948800,3416862176.432565,usd,2025-11-12
7M78L6aosDNfkR7f3JWi6sRKEPotQANsUu6oP9n9pump,2.233718871110168e-05,6.243287180529713e-05,1.0537626209374793e-05,1.0537626209374793e-05,12H,1762992000,3215752079.1949215,usd,2025-11-13
7M78L6aosDNfkR7f3JWi6sRKEPotQANsUu6oP9n9pump,3.4267056272531396e-05,8.895082176228992e-05,1.7168993301381734e-05,2.233718871110168e-05,12H,1763035200,2775219076.0554667,usd,2025-11-13
7M78L6aosDNfkR7f3JWi6sRKEPotQANsUu6oP9n9pump,2.4578620289867448e-05,5.1001175019405085e-05,1.5119866179150166e-05,3.4267056272531396e-05,12H,1763078400,1749974072.3191571,usd,2025-11-14
7M78L6aosDNfkR7f3JWi6sRKEPotQANsUu6oP9n9pump,1.545950862960264e-05,2.914392841310536e-05,1.181526030687279e-05,2.4578620289867448e-05,12H,1763121600,1511361686.4922676,usd,2025-11-14
7M78L6aosDNfkR7f3JWi6sRKEPotQANsUu6oP9n9pump,1.2023804919195156e-05,1.7526983036306353e-05,1.1176536195591762e-05,1.545950862960264e-05,12H,1763164800,461244287.6768141,usd,2025-11-15
7M78L6aosDNfkR7f3JWi6sRKEPotQANsUu6oP9n9pump,9.270358271627283e-06,1.4097513049207795e-05,8.958141110372708e-06,1.2023804919195156e-05,12H,1763208000,347297281.82321495,usd,2025-11-15
7M78L6aosDNfkR7f3JWi6sRKEPotQANsUu6oP9n9pump,8.847748062000902e-06,9.855579941973379e-06,8.708422405873356e-06,9.270358271627283e-06,12H,1763251200,118539933.06438102,usd,2025-11-16
7M78L6aosDNfkR7f3JWi6sRKEPotQANsUu6oP9n9pump,9.089472606353252e-06,1.075952900032645e-05,8.506070083854142e-06,8.847748062000902e-06,12H,1763294400,181859873.45073703,usd,2025-11-16
7M78L6aosDNfkR7f3JWi6sRKEPotQANsUu6oP9n9pump,7.392507171646515e-06,9.356426248248918e-06,7.392507171646515e-06,9.089472606353252e-06,12H,1763337600,93057544.677118,usd,2025-11-17
7M78L6aosDNfkR7f3JWi6sRKEPotQANsUu6oP9n9pump,6.632220893296733e-06,7.392507171646515e-06,6.545482097319396e-06,7.392507171646515e-06,12H,1763380800,54389894.456256,usd,2025-11-17
7M78L6aosDNfkR7f3JWi6sRKEPotQANsUu6oP9n9pump,6.3413371019129876e-06,6.874574532529003e-06,6.1464453807363545e-06,6.632220893296733e-06,12H,1763424000,44731323.21352701,usd,2025-11-18
7M78L6aosDNfkR7f3JWi6sRKEPotQANsUu6oP9n9pump,6.03203634729942e-06,6.345285753189747e-06,6.013057391847119e-06,6.3413371019129876e-06,12H,1763467200,22300562.417399,usd,2025-11-18
7M78L6aosDNfkR7f3JWi6sRKEPotQANsUu6oP9n9pump,5.8829503638595875e-06,6.111965703879096e-06,5.8829503638595875e-06,6.03203634729942e-06,12H,1763510400,14991349.460469,usd,2025-11-19
7M78L6aosDNfkR7f3JWi6sRKEPotQANsUu6oP9n9pump,5.565931459558582e-06,5.8829503638595875e-06,5.486926071098397e-06,5.8829503638595875e-06,12H,1763553600,12317870.92646,usd,2025-11-19
7M78L6aosDNfkR7f3JWi6sRKEPotQANsUu6oP9n9pump,7.341154312951781e-06,7.544760599171403e-06,5.565931459558582e-06,5.565931459558582e-06,12H,1763596800,131884094.274872,usd,2025-11-20
7M78L6aosDNfkR7f3JWi6sRKEPotQANsUu6oP9n9pump,6.892564713004639e-06,7.36202136528759e-06,6.7409455219783455e-06,7.341154312951781e-06,12H,1763640000,1930012.125402,usd,2025-11-20
7M78L6aosDNfkR7f3JWi6sRKEPotQANsUu6oP9n9pump,5.722764685832812e-06,6.968910130071205e-06,5.722764685832812e-06,6.892564713004639e-06,12H,1763683200,110983755.282623,usd,2025-11-21
7M78L6aosDNfkR7f3JWi6sRKEPotQANsUu6oP9n9pump,4.707352245101578e-06,5.722764685832812e-06,4.68204120688398e-06,5.722764685832812e-06,12H,1763726400,5860294.54465,usd,2025-11-21
7M78L6aosDNfkR7f3JWi6sRKEPotQANsUu6oP9n9pump,4.707352245101578e-06,4.707352245101578e-06,4.707352245101578e-06,4.707352245101578e-06,12H,1763769600,0.0,usd,2025-11-22
7M78L6aosDNfkR7f3JWi6sRKEPotQANsUu6oP9n9pump,4.527040603739176e-06,4.7506359660762915e-06,4.527040603739176e-06,4.707352245101578e-06,12H,1763812800,23382651.35279,usd,2025-11-22
7M78L6aosDNfkR7f3JWi6sRKEPotQANsUu6oP9n9pump,4.56241814555858e-06,4.56241814555858e-06,4.527040603739176e-06,4.527040603739176e-06,12H,1763856000,219000.0,usd,2025-11-23
7M78L6aosDNfkR7f3JWi6sRKEPotQANsUu6oP9n9pump,4.478245694090721e-06,4.620404999474739e-06,4.478245694090721e-06,4.56241814555858e-06,12H,1763899200,13683455.649364,usd,2025-11-23
7M78L6aosDNfkR7f3JWi6sRKEPotQANsUu6oP9n9pump,4.498048300059606e-06,6.380201945947288e-06,4.478245694090721e-06,4.478245694090721e-06,12H,1763942400,307057230.7357551,usd,2025-11-24
7M78L6aosDNfkR7f3JWi6sRKEPotQANsUu6oP9n9pump,4.498048300059606e-06,4.498048300059606e-06,4.498048300059606e-06,4.498048300059606e-06,12H,1763985600,8776.194883,usd,2025-11-24
7M78L6aosDNfkR7f3JWi6sRKEPotQANsUu6oP9n9pump,4.75756194934116e-06,4.75756194934116e-06,4.498048300059606e-06,4.498048300059606e-06,12H,1764028800,6265690.033403,usd,2025-11-25
7M78L6aosDNfkR7f3JWi6sRKEPotQANsUu6oP9n9pump,4.8103536330121824e-06,5.713556034809989e-06,4.637834336813828e-06,4.75756194934116e-06,12H,1764072000,164471530.41623196,usd,2025-11-25
7M78L6aosDNfkR7f3JWi6sRKEPotQANsUu6oP9n9pump,4.996529871566381e-06,6.006748840750658e-06,4.736262714806445e-06,4.8103536330121824e-06,12H,1764115200,145609458.058597,usd,2025-11-26
7M78L6aosDNfkR7f3JWi6sRKEPotQANsUu6oP9n9pump,5.471221093204722e-06,5.471221093204722e-06,4.875360567130681e-06,4.996529871566381e-06,12H,1764158400,58288524.00967,usd,2025-11-26
7M78L6aosDNfkR7f3JWi6sRKEPotQANsUu6oP9n9pump,5.872322829518203e-06,5.9333303016747e-06,5.471221093204722e-06,5.471221093204722e-06,12H,1764201600,5220345.978966,usd,2025-11-27
7M78L6aosDNfkR7f3JWi6sRKEPotQANsUu6oP9n9pump,5.873945847919222e-06,5.873945847919222e-06,5.836014917861449e-06,5.872322829518203e-06,12H,1764244800,16865824.090025,usd,2025-11-27
7M78L6aosDNfkR7f3JWi6sRKEPotQANsUu6oP9n9pump,5.4946639616688495e-06,5.873945847919222e-06,5.4946639616688495e-06,5.873945847919222e-06,12H,1764288000,24683776.603694,usd,2025-11-28
7M78L6aosDNfkR7f3JWi6sRKEPotQANsUu6oP9n9pump,5.452872595452432e-06,5.4946639616688495e-06,5.452872595452432e-06,5.4946639616688495e-06,12H,1764331200,2154753.061144,usd,2025-11-28
7M78L6aosDNfkR7f3JWi6sRKEPotQANsUu6oP9n9pump,5.452872595452432e-06,5.452872595452432e-06,5.452872595452432e-06,5.452872595452432e-06,12H,1764374400,0.0,usd,2025-11-29
7M78L6aosDNfkR7f3JWi6sRKEPotQANsUu6oP9n9pump,5.37780757685702e-06,5.452872595452432e-06,5.3314885158812925e-06,5.452872595452432e-06,12H,1764417600,4249613.253288,usd,2025-11-29
7M78L6aosDNfkR7f3JWi6sRKEPotQANsUu6oP9n9pump,5.006191922436256e-06,5.37780757685702e-06,5.006191922436256e-06,5.37780757685702e-06,12H,1764460800,21083930.98053,usd,2025-11-30
7M78L6aosDNfkR7f3JWi6sRKEPotQANsUu6oP9n9pump,4.753718221244752e-06,5.006191922436256e-06,4.753718221244752e-06,5.006191922436256e-06,12H,1764504000,30920322.727831,usd,2025-11-30
7M78L6aosDNfkR7f3JWi6sRKEPotQANsUu6oP9n9pump,4.287662461456168e-06,4.753718221244752e-06,4.287662461456168e-06,4.753718221244752e-06,12H,1764547200,1917801.748527,usd,2025-12-01
7M78L6aosDNfkR7f3JWi6sRKEPotQANsUu6oP9n9pump,4.287662461456168e-06,4.287662461456168e-06,4.287662461456168e-06,4.287662461456168e-06,12H,1764590400,0.0,usd,2025-12-01
7M78L6aosDNfkR7f3JWi6sRKEPotQANsUu6oP9n9pump,4.270161677341031e-06,4.287662461456168e-06,4.270161677341031e-06,4.287662461456168e-06,12H,1764633600,1000000.0,usd,2025-12-02
7M78L6aosDNfkR7f3JWi6sRKEPotQANsUu6oP9n9pump,4.270161677341031e-06,4.270161677341031e-06,4.270161677341031e-06,4.270161677341031e-06,12H,1764676800,0.0,usd,2025-12-02
7M78L6aosDNfkR7f3JWi6sRKEPotQANsUu6oP9n9pump,4.679873730326829e-06,4.679873730326829e-06,4.270161677341031e-06,4.270161677341031e-06,12H,1764720000,1266454.878505,usd,2025-12-03
7M78L6aosDNfkR7f3JWi6sRKEPotQANsUu6oP9n9pump,4.679873730326829e-06,4.679873730326829e-06,4.679873730326829e-06,4.679873730326829e-06,12H,1764763200,0.0,usd,2025-12-03
7M78L6aosDNfkR7f3JWi6sRKEPotQANsUu6oP9n9pump,4.679873730326829e-06,4.679873730326829e-06,4.679873730326829e-06,4.679873730326829e-06,12H,1764806400,0.0,usd,2025-12-04
7M78L6aosDNfkR7f3JWi6sRKEPotQANsUu6oP9n9pump,4.679873730326829e-06,4.679873730326829e-06,4.679873730326829e-06,4.679873730326829e-06,12H,1764849600,0.0,usd,2025-12-04
7M78L6aosDNfkR7f3JWi6sRKEPotQANsUu6oP9n9pump,4.679873730326829e-06,4.679873730326829e-06,4.679873730326829e-06,4.679873730326829e-06,12H,1764892800,0.0,usd,2025-12-05
7M78L6aosDNfkR7f3JWi6sRKEPotQANsUu6oP9n9pump,4.679873730326829e-06,4.679873730326829e-06,4.679873730326829e-06,4.679873730326829e-06,12H,1764936000,0.0,usd,2025-12-05
7M78L6aosDNfkR7f3JWi6sRKEPotQANsUu6oP9n9pump,4.679873730326829e-06,4.679873730326829e-06,4.679873730326829e-06,4.679873730326829e-06,12H,1764979200,0.0,usd,2025-12-06
7M78L6aosDNfkR7f3JWi6sRKEPotQANsUu6oP9n9pump,4.3928777466563915e-06,4.679873730326829e-06,4.3928777466563915e-06,4.679873730326829e-06,12H,1765022400,312355.186378,usd,2025-12-06
7M78L6aosDNfkR7f3JWi6sRKEPotQANsUu6oP9n9pump,4.3928777466563915e-06,4.3928777466563915e-06,4.3928777466563915e-06,4.3928777466563915e-06,12H,1765065600,0.0,usd,2025-12-07
7M78L6aosDNfkR7f3JWi6sRKEPotQANsUu6oP9n9pump,4.107598540255297e-06,4.3928777466563915e-06,4.107598540255297e-06,4.3928777466563915e-06,12H,1765108800,42706589.1,usd,2025-12-07
7M78L6aosDNfkR7f3JWi6sRKEPotQANsUu6oP9n9pump,4.110669136195382e-06,4.110669136195382e-06,4.107598540255297e-06,4.107598540255297e-06,12H,1765152000,49051.143038,usd,2025-12-08
7M78L6aosDNfkR7f3JWi6sRKEPotQANsUu6oP9n9pump,4.110669136195382e-06,4.110669136195382e-06,4.110669136195382e-06,4.110669136195382e-06,12H,1765195200,0.0,usd,2025-12-08
