address,close,high,low,open,type,ts,volume,currency,date,interval
GLCUkyfktnAU7bjohWzLq6iJaH7pkDy9BX1B9Wjgnw3V,5.4102007466083385e-06,5.4102007466083385e-06,5.347158999849375e-06,5.347158999849375e-06,1m,1748379600,21000000.0,usd,2025-05-27,1m
GLCUkyfktnAU7bjohWzLq6iJaH7pkDy9BX1B9Wjgnw3V,5.4102007466083385e-06,5.4102007466083385e-06,5.4102007466083385e-06,5.4102007466083385e-06,1m,1748379660,0.0,usd,2025-05-27,1m
GLCUkyfktnAU7bjohWzLq6iJaH7pkDy9BX1B9Wjgnw3V,5.311669907672771e-06,5.4102007466083385e-06,5.311669907672771e-06,5.4102007466083385e-06,1m,1748379720,375888.727551,usd,2025-05-27,1m
GLCUkyfktnAU7bjohWzLq6iJaH7pkDy9BX1B9Wjgnw3V,5.311669433304714e-06,5.311669907672771e-06,5.311669433304714e-06,5.311669907672771e-06,1m,1748379780,375888.727551,usd,2025-05-27,1m
GLCUkyfktnAU7bjohWzLq6iJaH7pkDy9BX1B9Wjgnw3V,5.304757372873174e-06,5.311669433304714e-06,5.304757372873174e-06,5.311669433304714e-06,1m,1748379840,786697.570164,usd,2025-05-27,1m
GLCUkyfktnAU7bjohWzLq6iJaH7pkDy9BX1B9Wjgnw3V,5.303061429107479e-06,5.304757372873174e-06,5.303061429107479e-06,5.304757372873174e-06,1m,1748379900,790237.200236,usd,2025-05-27,1m
GLCUkyfktnAU7bjohWzLq6iJaH7pkDy9BX1B9Wjgnw3V,5.3040900541582405e-06,5.3040900541582405e-06,5.300014742999971e-06,5.303061429107479e-06,1m,1748379960,751012.147652,usd,2025-05-27,1m
GLCUkyfktnAU7bjohWzLq6iJaH7pkDy9BX1B9Wjgnw3V,5.305371487918484e-06,5.305371487918484e-06,5.3040900541582405e-06,5.3040900541582405e-06,1m,1748380020,770341.103788,usd,2025-05-27,1m
GLCUkyfktnAU7bjohWzLq6iJaH7pkDy9BX1B9Wjgnw3V,5.309287196523796e-06,5.309287196523796e-06,5.305371487918484e-06,5.305371487918484e-06,1m,1748380080,393350.295058,usd,2025-05-27,1m
GLCUkyfktnAU7bjohWzLq6iJaH7pkDy9BX1B9Wjgnw3V,5.309286743424798e-06,5.309287196523796e-06,5.309286743424798e-06,5.309287196523796e-06,1m,1748380140,393350.295058,usd,2025-05-27,1m
GLCUkyfktnAU7bjohWzLq6iJaH7pkDy9BX1B9Wjgnw3V,5.305384708784425e-06,5.309286743424798e-06,5.305384708784425e-06,5.309286743424798e-06,1m,1748380200,763351.829796,usd,2025-05-27,1m
GLCUkyfktnAU7bjohWzLq6iJaH7pkDy9BX1B9Wjgnw3V,5.309329261570496e-06,5.309329261570496e-06,5.305138558662346e-06,5.305384708784425e-06,1m,1748380260,739416.225502,usd,2025-05-27,1m
GLCUkyfktnAU7bjohWzLq6iJaH7pkDy9BX1B9Wjgnw3V,5.303140386924422e-06,5.309329261570496e-06,5.303140386924422e-06,5.309329261570496e-06,1m,1748380320,730221.651974,usd,2025-05-27,1m
GLCUkyfktnAU7bjohWzLq6iJaH7pkDy9BX1B9Wjgnw3V,5.3094560952958206e-06,5.3094560952958206e-06,5.303140386924422e-06,5.303140386924422e-06,1m,1748380380,751000.93937,usd,2025-05-27,1m
GLCUkyfktnAU7bjohWzLq6iJaH7pkDy9BX1B9Wjgnw3V,5.3094560952958206e-06,5.3094560952958206e-06,5.3094560952958206e-06,5.3094560952958206e-06,1m,1748380440,0.0,usd,2025-05-27,1m
GLCUkyfktnAU7bjohWzLq6iJaH7pkDy9BX1B9Wjgnw3V,5.3094560952958206e-06,5.3094560952958206e-06,5.3094560952958206e-06,5.3094560952958206e-06,1m,1748380500,0.0,usd,2025-05-27,1m
GLCUkyfktnAU7bjohWzLq6iJaH7pkDy9BX1B9Wjgnw3V,5.3094560952958206e-06,5.3094560952958206e-06,5.3094560952958206e-06,5.3094560952958206e-06,1m,1748380560,0.0,usd,2025-05-27,1m
GLCUkyfktnAU7bjohWzLq6iJaH7pkDy9BX1B9Wjgnw3V,5.3094560952958206e-06,5.3094560952958206e-06,5.3094560952958206e-06,5.3094560952958206e-06,1m,1748380620,0.0,usd,2025-05-27,1m
GLCUkyfktnAU7bjohWzLq6iJaH7pkDy9BX1B9Wjgnw3V,5.3094560952958206e-06,5.3094560952958206e-06,5.3094560952958206e-06,5.3094560952958206e-06,1m,1748380680,0.0,usd,2025-05-27,1m
GLCUkyfktnAU7bjohWzLq6iJaH7pkDy9BX1B9Wjgnw3V,5.3094560952958206e-06,5.3094560952958206e-06,5.3094560952958206e-06,5.3094560952958206e-06,1m,1748380740,0.0,usd,2025-05-27,1m
GLCUkyfktnAU7bjohWzLq6iJaH7pkDy9BX1B9Wjgnw3V,5.3094560952958206e-06,5.3094560952958206e-06,5.3094560952958206e-06,5.3094560952958206e-06,1m,1748380800,0.0,usd,2025-05-27,1m
GLCUkyfktnAU7bjohWzLq6iJaH7pkDy9BX1B9Wjgnw3V,5.295492975738492e-06,5.3094560952958206e-06,5.295492975738492e-06,5.3094560952958206e-06,1m,1748380860,35411.0,usd,2025-05-27,1m
GLCUkyfktnAU7bjohWzLq6iJaH7pkDy9BX1B9Wjgnw3V,5.295492975738492e-06,5.295492975738492e-06,5.295492975738492e-06,5.295492975738492e-06,1m,1748380920,0.0,usd,2025-05-27,1m
GLCUkyfktnAU7bjohWzLq6iJaH7pkDy9BX1B9Wjgnw3V,5.295492975738492e-06,5.295492975738492e-06,5.295492975738492e-06,5.295492975738492e-06,1m,1748380980,0.0,usd,2025-05-27,1m
GLCUkyfktnAU7bjohWzLq6iJaH7pkDy9BX1B9Wjgnw3V,5.295492975738492e-06,5.295492975738492e-06,5.295492975738492e-06,5.295492975738492e-06,1m,1748381040,0.0,usd,2025-05-27,1m
GLCUkyfktnAU7bjohWzLq6iJaH7pkDy9BX1B9Wjgnw3V,5.295492975738492e-06,5.295492975738492e-06,5.295492975738492e-06,5.295492975738492e-06,1m,1748381100,0.0,usd,2025-05-27,1m
GLCUkyfktnAU7bjohWzLq6iJaH7pkDy9BX1B9Wjgnw3V,5.295492975738492e-06,5.295492975738492e-06,5.295492975738492e-06,5.295492975738492e-06,1m,1748381160,0.0,usd,2025-05-27,1m
GLCUkyfktnAU7bjohWzLq6iJaH7pkDy9BX1B9Wjgnw3V,5.295492975738492e-06,5.295492975738492e-06,5.295492975738492e-06,5.295492975738492e-06,1m,1748381220,0.0,usd,2025-05-27,1m
GLCUkyfktnAU7bjohWzLq6iJaH7pkDy9BX1B9Wjgnw3V,5.295492975738492e-06,5.295492975738492e-06,5.295492975738492e-06,5.295492975738492e-06,1m,1748381280,0.0,usd,2025-05-27,1m
GLCUkyfktnAU7bjohWzLq6iJaH7pkDy9BX1B9Wjgnw3V,5.295492975738492e-06,5.295492975738492e-06,5.295492975738492e-06,5.295492975738492e-06,1m,1748381340,0.0,usd,2025-05-27,1m
GLCUkyfktnAU7bjohWzLq6iJaH7pkDy9BX1B9Wjgnw3V,5.295492975738492e-06,5.295492975738492e-06,5.295492975738492e-06,5.295492975738492e-06,1m,1748381400,0.0,usd,2025-05-27,1m
GLCUkyfktnAU7bjohWzLq6iJaH7pkDy9BX1B9Wjgnw3V,5.295492975738492e-06,5.295492975738492e-06,5.295492975738492e-06,5.295492975738492e-06,1m,1748381460,0.0,usd,2025-05-27,1m
GLCUkyfktnAU7bjohWzLq6iJaH7pkDy9BX1B9Wjgnw3V,5.295492975738492e-06,5.295492975738492e-06,5.295492975738492e-06,5.295492975738492e-06,1m,1748381520,0.0,usd,2025-05-27,1m
GLCUkyfktnAU7bjohWzLq6iJaH7pkDy9BX1B9Wjgnw3V,5.295492975738492e-06,5.295492975738492e-06,5.295492975738492e-06,5.295492975738492e-06,1m,1748381580,0.0,usd,2025-05-27,1m
GLCUkyfktnAU7bjohWzLq6iJaH7pkDy9BX1B9Wjgnw3V,5.295492975738492e-06,5.295492975738492e-06,5.295492975738492e-06,5.295492975738492e-06,1m,1748381640,0.0,usd,2025-05-27,1m
GLCUkyfktnAU7bjohWzLq6iJaH7pkDy9BX1B9Wjgnw3V,5.295492975738492e-06,5.295492975738492e-06,5.295492975738492e-06,5.295492975738492e-06,1m,1748381700,0.0,usd,2025-05-27,1m
GLCUkyfktnAU7bjohWzLq6iJaH7pkDy9BX1B9Wjgnw3V,5.295492975738492e-06,5.295492975738492e-06,5.295492975738492e-06,5.295492975738492e-06,1m,1748381760,0.0,usd,2025-05-27,1m
GLCUkyfktnAU7bjohWzLq6iJaH7pkDy9BX1B9Wjgnw3V,5.295492975738492e-06,5.295492975738492e-06,5.295492975738492e-06,5.295492975738492e-06,1m,1748381820,0.0,usd,2025-05-27,1m
GLCUkyfktnAU7bjohWzLq6iJaH7pkDy9BX1B9Wjgnw3V,5.295492975738492e-06,5.295492975738492e-06,5.295492975738492e-06,5.295492975738492e-06,1m,1748381880,0.0,usd,2025-05-27,1m
GLCUkyfktnAU7bjohWzLq6iJaH7pkDy9BX1B9Wjgnw3V,5.295492975738492e-06,5.295492975738492e-06,5.295492975738492e-06,5.295492975738492e-06,1m,1748381940,0.0,usd,2025-05-27,1m
GLCUkyfktnAU7bjohWzLq6iJaH7pkDy9BX1B9Wjgnw3V,5.295492975738492e-06,5.295492975738492e-06,5.295492975738492e-06,5.295492975738492e-06,1m,1748382000,0.0,usd,2025-05-27,1m
GLCUkyfktnAU7bjohWzLq6iJaH7pkDy9BX1B9Wjgnw3V,5.295492975738492e-06,5.295492975738492e-06,5.295492975738492e-06,5.295492975738492e-06,1m,1748382060,0.0,usd,2025-05-27,1m
GLCUkyfktnAU7bjohWzLq6iJaH7pkDy9BX1B9Wjgnw3V,5.295492975738492e-06,5.295492975738492e-06,5.295492975738492e-06,5.295492975738492e-06,1m,1748382120,0.0,usd,2025-05-27,1m
GLCUkyfktnAU7bjohWzLq6iJaH7pkDy9BX1B9Wjgnw3V,5.295492975738492e-06,5.295492975738492e-06,5.295492975738492e-06,5.295492975738492e-06,1m,1748382180,0.0,usd,2025-05-27,1m
