address,ts,price,date
JDJ19CXzhRy8eNTU4jZ2GzEvJhqKsc1pVTZ5BBD3pump,1744156800,2.923602009195248e-06,2025-04-09
JDJ19CXzhRy8eNTU4jZ2GzEvJhqKsc1pVTZ5BBD3pump,1744243200,2.923602009195248e-06,2025-04-10
JDJ19CXzhRy8eNTU4jZ2GzEvJhqKsc1pVTZ5BBD3pump,1744329600,2.923602009195248e-06,2025-04-11
JDJ19CXzhRy8eNTU4jZ2GzEvJhqKsc1pVTZ5BBD3pump,1744416000,2.923602009195248e-06,2025-04-12
JDJ19CXzhRy8eNTU4jZ2GzEvJhqKsc1pVTZ5BBD3pump,1744502400,2.923602009195248e-06,2025-04-13
JDJ19CXzhRy8eNTU4jZ2GzEvJhqKsc1pVTZ5BBD3pump,1744588800,2.923602009195248e-06,2025-04-14
JDJ19CXzhRy8eNTU4jZ2GzEvJhqKsc1pVTZ5BBD3pump,1744675200,2.923602009195248e-06,2025-04-15
JDJ19CXzhRy8eNTU4jZ2GzEvJhqKsc1pVTZ5BBD3pump,1744761600,2.923602009195248e-06,2025-04-16
JDJ19CXzhRy8eNTU4jZ2GzEvJhqKsc1pVTZ5BBD3pump,1744848000,2.923602009195248e-06,2025-04-17
JDJ19CXzhRy8eNTU4jZ2GzEvJhqKsc1pVTZ5BBD3pump,1744934400,2.923602009195248e-06,2025-04-18
JDJ19CXzhRy8eNTU4jZ2GzEvJhqKsc1pVTZ5BBD3pump,1745020800,2.923602009195248e-06,2025-04-19
JDJ19CXzhRy8eNTU4jZ2GzEvJhqKsc1pVTZ5BBD3pump,1745107200,2.923602009195248e-06,2025-04-20
JDJ19CXzhRy8eNTU4jZ2GzEvJhqKsc1pVTZ5BBD3pump,1745193600,2.923602009195248e-06,2025-04-21
JDJ19CXzhRy8eNTU4jZ2GzEvJhqKsc1pVTZ5BBD3pump,1745280000,2.923602009195248e-06,2025-04-22
JDJ19CXzhRy8eNTU4jZ2GzEvJhqKsc1pVTZ5BBD3pump,1745366400,2.923602009195248e-06,2025-04-23
JDJ19CXzhRy8eNTU4jZ2GzEvJhqKsc1pVTZ5BBD3pump,1745452800,2.923602009195248e-06,2025-04-24
JDJ19CXzhRy8eNTU4jZ2GzEvJhqKsc1pVTZ5BBD3pump,1745539200,2.923602009195248e-06,2025-04-25
JDJ19CXzhRy8eNTU4jZ2GzEvJhqKsc1pVTZ5BBD3pump,1745625600,2.923602009195248e-06,2025-04-26
JDJ19CXzhRy8eNTU4jZ2GzEvJhqKsc1pVTZ5BBD3pump,1745712000,2.923602009195248e-06,2025-04-27
JDJ19CXzhRy8eNTU4jZ2GzEvJhqKsc1pVTZ5BBD3pump,1745798400,2.923602009195248e-06,2025-04-28
JDJ19CXzhRy8eNTU4jZ2GzEvJhqKsc1pVTZ5BBD3pump,1745884800,2.923602009195248e-06,2025-04-29
JDJ19CXzhRy8eNTU4jZ2GzEvJhqKsc1pVTZ5BBD3pump,1745971200,2.923602009195248e-06,2025-04-30
JDJ19CXzhRy8eNTU4jZ2GzEvJhqKsc1pVTZ5BBD3pump,1746057600,2.923602009195248e-06,2025-05-01
