address,ts,price,date
E7zAxptZF1kAwXTZbDxKB7pk1FChAmrx8DkZnHhMpump,1759795200,6.944452626981392e-06,2025-10-07
E7zAxptZF1kAwXTZbDxKB7pk1FChAmrx8DkZnHhMpump,1759881600,6.944452626981392e-06,2025-10-08
E7zAxptZF1kAwXTZbDxKB7pk1FChAmrx8DkZnHhMpump,1759968000,6.944452626981392e-06,2025-10-09
E7zAxptZF1kAwXTZbDxKB7pk1FChAmrx8DkZnHhMpump,1760054400,6.944452626981392e-06,2025-10-10
E7zAxptZF1kAwXTZbDxKB7pk1FChAmrx8DkZnHhMpump,1760140800,6.944452626981392e-06,2025-10-11
E7zAxptZF1kAwXTZbDxKB7pk1FChAmrx8DkZnHhMpump,1760227200,6.944452626981392e-06,2025-10-12
E7zAxptZF1kAwXTZbDxKB7pk1FChAmrx8DkZnHhMpump,1760313600,6.944452626981392e-06,2025-10-13
E7zAxptZF1kAwXTZbDxKB7pk1FChAmrx8DkZnHhMpump,1760400000,6.944452626981392e-06,2025-10-14
E7zAxptZF1kAwXTZbDxKB7pk1FChAmrx8DkZnHhMpump,1760486400,6.944452626981392e-06,2025-10-15
E7zAxptZF1kAwXTZbDxKB7pk1FChAmrx8DkZnHhMpump,1760572800,6.944452626981392e-06,2025-10-16
E7zAxptZF1kAwXTZbDxKB7pk1FChAmrx8DkZnHhMpump,1760659200,6.944452626981392e-06,2025-10-17
E7zAxptZF1kAwXTZbDxKB7pk1FChAmrx8DkZnHhMpump,1760745600,6.944452626981392e-06,2025-10-18
E7zAxptZF1kAwXTZbDxKB7pk1FChAmrx8DkZnHhMpump,1760832000,6.944452626981392e-06,2025-10-19
E7zAxptZF1kAwXTZbDxKB7pk1FChAmrx8DkZnHhMpump,1760918400,6.944452626981392e-06,2025-10-20
E7zAxptZF1kAwXTZbDxKB7pk1FChAmrx8DkZnHhMpump,1761004800,6.944452626981392e-06,2025-10-21
E7zAxptZF1kAwXTZbDxKB7pk1FChAmrx8DkZnHhMpump,1761091200,6.944452626981392e-06,2025-10-22
