address,high,open,low,close,type,volume,ts,currency,date,interval
GmCURnuLyyZwdafyQBfVawD4MimmBhdUcEQC2WSQpag,6.376595411891228e-06,6.376595411891228e-06,6.376595411891228e-06,6.376595411891228e-06,1m,0.0,1756902120,usd,2025-09-03,1m
GmCURnuLyyZwdafyQBfVawD4MimmBhdUcEQC2WSQpag,2.0202998413495038e-05,6.376595411891228e-06,6.376595411891228e-06,1.8314688056155926e-05,1m,637551983.5489321,1756902180,usd,2025-09-03,1m
GmCURnuLyyZwdafyQBfVawD4MimmBhdUcEQC2WSQpag,1.8314688056155926e-05,1.8314688056155926e-05,9.780758689565217e-06,1.0513708164675938e-05,1m,487040756.321108,1756902240,usd,2025-09-03,1m
GmCURnuLyyZwdafyQBfVawD4MimmBhdUcEQC2WSQpag,1.0513708164675938e-05,1.0513708164675938e-05,8.357976091924684e-06,8.859805097827736e-06,1m,124344673.84791,1756902300,usd,2025-09-03,1m
GmCURnuLyyZwdafyQBfVawD4MimmBhdUcEQC2WSQpag,8.907767955959115e-06,8.859805097827736e-06,8.857464293216507e-06,8.857464293216507e-06,1m,7559493.3417070005,1756902360,usd,2025-09-03,1m
GmCURnuLyyZwdafyQBfVawD4MimmBhdUcEQC2WSQpag,1.357779208633e-05,8.857464293216507e-06,8.857464293216507e-06,1.357779208633e-05,1m,182549800.37253505,1756902420,usd,2025-09-03,1m
GmCURnuLyyZwdafyQBfVawD4MimmBhdUcEQC2WSQpag,1.4471927000949781e-05,1.357779208633e-05,1.062145617931625e-05,1.062145617931625e-05,1m,175240959.83888203,1756902480,usd,2025-09-03,1m
GmCURnuLyyZwdafyQBfVawD4MimmBhdUcEQC2WSQpag,1.062145617931625e-05,1.062145617931625e-05,1.0110934478330084e-05,1.0110934478330084e-05,1m,764778.8234280001,1756902540,usd,2025-09-03,1m
GmCURnuLyyZwdafyQBfVawD4MimmBhdUcEQC2WSQpag,1.0110934478330084e-05,1.0110934478330084e-05,8.635492891259641e-06,8.635492891259641e-06,1m,66658635.888571,1756902600,usd,2025-09-03,1m
GmCURnuLyyZwdafyQBfVawD4MimmBhdUcEQC2WSQpag,8.635492891259641e-06,8.635492891259641e-06,7.599889091779313e-06,7.599889091779313e-06,1m,65375210.61136,1756902660,usd,2025-09-03,1m
GmCURnuLyyZwdafyQBfVawD4MimmBhdUcEQC2WSQpag,8.839148955621798e-06,7.599889091779313e-06,7.599889091779313e-06,8.839148955621798e-06,1m,73420954.475621,1756902720,usd,2025-09-03,1m
GmCURnuLyyZwdafyQBfVawD4MimmBhdUcEQC2WSQpag,8.900112532344821e-06,8.839148955621798e-06,7.951666094863417e-06,8.445410067280511e-06,1m,96214842.913105,1756902780,usd,2025-09-03,1m
GmCURnuLyyZwdafyQBfVawD4MimmBhdUcEQC2WSQpag,9.03690806402284e-06,8.445410067280511e-06,8.445410067280511e-06,9.03690806402284e-06,1m,43894104.139337,1756902840,usd,2025-09-03,1m
GmCURnuLyyZwdafyQBfVawD4MimmBhdUcEQC2WSQpag,9.462888566207155e-06,9.03690806402284e-06,9.03690806402284e-06,9.462888566207155e-06,1m,5577396.686035,1756902900,usd,2025-09-03,1m
GmCURnuLyyZwdafyQBfVawD4MimmBhdUcEQC2WSQpag,9.462888566207155e-06,9.462888566207155e-06,9.462888566207155e-06,9.462888566207155e-06,1m,0.0,1756902960,usd,2025-09-03,1m
GmCURnuLyyZwdafyQBfVawD4MimmBhdUcEQC2WSQpag,9.462888566207155e-06,9.462888566207155e-06,8.840746489300312e-06,8.840746489300312e-06,1m,35242283.423029,1756903020,usd,2025-09-03,1m
GmCURnuLyyZwdafyQBfVawD4MimmBhdUcEQC2WSQpag,8.849535568974348e-06,8.840746489300312e-06,8.840746489300312e-06,8.849535568974348e-06,1m,1165108.722117,1756903080,usd,2025-09-03,1m
GmCURnuLyyZwdafyQBfVawD4MimmBhdUcEQC2WSQpag,8.849535568974348e-06,8.849535568974348e-06,8.849535568974348e-06,8.849535568974348e-06,1m,0.0,1756903140,usd,2025-09-03,1m
GmCURnuLyyZwdafyQBfVawD4MimmBhdUcEQC2WSQpag,8.849535568974348e-06,8.849535568974348e-06,8.849535568974348e-06,8.849535568974348e-06,1m,0.0,1756903200,usd,2025-09-03,1m
GmCURnuLyyZwdafyQBfVawD4MimmBhdUcEQC2WSQpag,8.849535568974348e-06,8.849535568974348e-06,8.779987008535726e-06,8.779987008535726e-06,1m,4000812.206157,1756903260,usd,2025-09-03,1m
GmCURnuLyyZwdafyQBfVawD4MimmBhdUcEQC2WSQpag,8.779987008535726e-06,8.779987008535726e-06,8.779987008535726e-06,8.779987008535726e-06,1m,0.0,1756903320,usd,2025-09-03,1m
GmCURnuLyyZwdafyQBfVawD4MimmBhdUcEQC2WSQpag,8.779987008535726e-06,8.779987008535726e-06,8.779987008535726e-06,8.779987008535726e-06,1m,0.0,1756903380,usd,2025-09-03,1m
GmCURnuLyyZwdafyQBfVawD4MimmBhdUcEQC2WSQpag,8.779987008535726e-06,8.779987008535726e-06,8.779987008535726e-06,8.779987008535726e-06,1m,0.0,1756903440,usd,2025-09-03,1m
GmCURnuLyyZwdafyQBfVawD4MimmBhdUcEQC2WSQpag,8.779987008535726e-06,8.779987008535726e-06,8.779987008535726e-06,8.779987008535726e-06,1m,0.0,1756903500,usd,2025-09-03,1m
GmCURnuLyyZwdafyQBfVawD4MimmBhdUcEQC2WSQpag,8.779987008535726e-06,8.779987008535726e-06,8.779987008535726e-06,8.779987008535726e-06,1m,0.0,1756903560,usd,2025-09-03,1m
GmCURnuLyyZwdafyQBfVawD4MimmBhdUcEQC2WSQpag,8.779987008535726e-06,8.779987008535726e-06,8.11799786243562e-06,8.150615567825101e-06,1m,59629539.520535,1756903620,usd,2025-09-03,1m
GmCURnuLyyZwdafyQBfVawD4MimmBhdUcEQC2WSQpag,8.150615567825101e-06,8.150615567825101e-06,8.061997446243647e-06,8.061997446243647e-06,1m,356726.127708,1756903680,usd,2025-09-03,1m
GmCURnuLyyZwdafyQBfVawD4MimmBhdUcEQC2WSQpag,8.061997446243647e-06,8.061997446243647e-06,8.061997446243647e-06,8.061997446243647e-06,1m,0.0,1756903740,usd,2025-09-03,1m
GmCURnuLyyZwdafyQBfVawD4MimmBhdUcEQC2WSQpag,8.061997446243647e-06,8.061997446243647e-06,8.061997446243647e-06,8.061997446243647e-06,1m,0.0,1756903800,usd,2025-09-03,1m
GmCURnuLyyZwdafyQBfVawD4MimmBhdUcEQC2WSQpag,8.104141632260076e-06,8.061997446243647e-06,8.061997446243647e-06,8.104141632260076e-06,1m,6308801.08141,1756903860,usd,2025-09-03,1m
GmCURnuLyyZwdafyQBfVawD4MimmBhdUcEQC2WSQpag,8.104141632260076e-06,8.104141632260076e-06,8.104141632260076e-06,8.104141632260076e-06,1m,0.0,1756903920,usd,2025-09-03,1m
GmCURnuLyyZwdafyQBfVawD4MimmBhdUcEQC2WSQpag,8.104141632260076e-06,8.104141632260076e-06,8.042392349032829e-06,8.042392349032829e-06,1m,12902445.883387,1756903980,usd,2025-09-03,1m
GmCURnuLyyZwdafyQBfVawD4MimmBhdUcEQC2WSQpag,8.042392349032829e-06,8.042392349032829e-06,8.042392349032829e-06,8.042392349032829e-06,1m,0.0,1756904040,usd,2025-09-03,1m
GmCURnuLyyZwdafyQBfVawD4MimmBhdUcEQC2WSQpag,8.042392349032829e-06,8.042392349032829e-06,7.517178776813998e-06,7.534446224451042e-06,1m,37675849.221739,1756904100,usd,2025-09-03,1m
GmCURnuLyyZwdafyQBfVawD4MimmBhdUcEQC2WSQpag,7.534446224451042e-06,7.534446224451042e-06,7.534446224451042e-06,7.534446224451042e-06,1m,0.0,1756904160,usd,2025-09-03,1m
GmCURnuLyyZwdafyQBfVawD4MimmBhdUcEQC2WSQpag,7.534446224451042e-06,7.534446224451042e-06,6.961276326221689e-06,6.961276326221689e-06,1m,36158857.496674,1756904220,usd,2025-09-03,1m
GmCURnuLyyZwdafyQBfVawD4MimmBhdUcEQC2WSQpag,6.961276326221689e-06,6.961276326221689e-06,6.961276326221689e-06,6.961276326221689e-06,1m,0.0,1756904280,usd,2025-09-03,1m
GmCURnuLyyZwdafyQBfVawD4MimmBhdUcEQC2WSQpag,6.961276326221689e-06,6.961276326221689e-06,6.878529649944551e-06,6.878529649944551e-06,1m,7767884.263626,1756904340,usd,2025-09-03,1m
GmCURnuLyyZwdafyQBfVawD4MimmBhdUcEQC2WSQpag,6.878529649944551e-06,6.878529649944551e-06,6.878529649944551e-06,6.878529649944551e-06,1m,0.0,1756904400,usd,2025-09-03,1m
GmCURnuLyyZwdafyQBfVawD4MimmBhdUcEQC2WSQpag,6.878529649944551e-06,6.878529649944551e-06,6.878529649944551e-06,6.878529649944551e-06,1m,0.0,1756904460,usd,2025-09-03,1m
GmCURnuLyyZwdafyQBfVawD4MimmBhdUcEQC2WSQpag,6.878529649944551e-06,6.878529649944551e-06,6.878529649944551e-06,6.878529649944551e-06,1m,0.0,1756904520,usd,2025-09-03,1m
GmCURnuLyyZwdafyQBfVawD4MimmBhdUcEQC2WSQpag,6.878529649944551e-06,6.878529649944551e-06,6.878529649944551e-06,6.878529649944551e-06,1m,0.0,1756904580,usd,2025-09-03,1m
GmCURnuLyyZwdafyQBfVawD4MimmBhdUcEQC2WSQpag,6.878529649944551e-06,6.878529649944551e-06,6.878529649944551e-06,6.878529649944551e-06,1m,0.0,1756904640,usd,2025-09-03,1m
GmCURnuLyyZwdafyQBfVawD4MimmBhdUcEQC2WSQpag,6.878529649944551e-06,6.878529649944551e-06,6.878529649944551e-06,6.878529649944551e-06,1m,0.0,1756904700,usd,2025-09-03,1m
GmCURnuLyyZwdafyQBfVawD4MimmBhdUcEQC2WSQpag,6.878529649944551e-06,6.878529649944551e-06,6.878529649944551e-06,6.878529649944551e-06,1m,0.0,1756904760,usd,2025-09-03,1m
GmCURnuLyyZwdafyQBfVawD4MimmBhdUcEQC2WSQpag,6.878529649944551e-06,6.878529649944551e-06,6.878529649944551e-06,6.878529649944551e-06,1m,0.0,1756904820,usd,2025-09-03,1m
GmCURnuLyyZwdafyQBfVawD4MimmBhdUcEQC2WSQpag,6.878529649944551e-06,6.878529649944551e-06,6.878529649944551e-06,6.878529649944551e-06,1m,0.0,1756904880,usd,2025-09-03,1m
GmCURnuLyyZwdafyQBfVawD4MimmBhdUcEQC2WSQpag,6.878529649944551e-06,6.878529649944551e-06,6.878529649944551e-06,6.878529649944551e-06,1m,0.0,1756904940,usd,2025-09-03,1m
GmCURnuLyyZwdafyQBfVawD4MimmBhdUcEQC2WSQpag,6.878529649944551e-06,6.878529649944551e-06,6.878529649944551e-06,6.878529649944551e-06,1m,0.0,1756905000,usd,2025-09-03,1m
GmCURnuLyyZwdafyQBfVawD4MimmBhdUcEQC2WSQpag,6.878529649944551e-06,6.878529649944551e-06,6.878529649944551e-06,6.878529649944551e-06,1m,0.0,1756905060,usd,2025-09-03,1m
GmCURnuLyyZwdafyQBfVawD4MimmBhdUcEQC2WSQpag,6.878529649944551e-06,6.878529649944551e-06,6.878529649944551e-06,6.878529649944551e-06,1m,0.0,1756905120,usd,2025-09-03,1m
GmCURnuLyyZwdafyQBfVawD4MimmBhdUcEQC2WSQpag,6.878529649944551e-06,6.878529649944551e-06,6.878529649944551e-06,6.878529649944551e-06,1m,0.0,1756905180,usd,2025-09-03,1m
GmCURnuLyyZwdafyQBfVawD4MimmBhdUcEQC2WSQpag,6.878529649944551e-06,6.878529649944551e-06,6.878529649944551e-06,6.878529649944551e-06,1m,0.0,1756905240,usd,2025-09-03,1m
GmCURnuLyyZwdafyQBfVawD4MimmBhdUcEQC2WSQpag,6.878529649944551e-06,6.878529649944551e-06,6.878529649944551e-06,6.878529649944551e-06,1m,0.0,1756905300,usd,2025-09-03,1m
GmCURnuLyyZwdafyQBfVawD4MimmBhdUcEQC2WSQpag,6.878529649944551e-06,6.878529649944551e-06,6.878529649944551e-06,6.878529649944551e-06,1m,0.0,1756905360,usd,2025-09-03,1m
GmCURnuLyyZwdafyQBfVawD4MimmBhdUcEQC2WSQpag,6.878529649944551e-06,6.878529649944551e-06,6.878529649944551e-06,6.878529649944551e-06,1m,0.0,1756905420,usd,2025-09-03,1m
GmCURnuLyyZwdafyQBfVawD4MimmBhdUcEQC2WSQpag,6.878529649944551e-06,6.878529649944551e-06,6.878529649944551e-06,6.878529649944551e-06,1m,0.0,1756905480,usd,2025-09-03,1m
GmCURnuLyyZwdafyQBfVawD4MimmBhdUcEQC2WSQpag,6.878529649944551e-06,6.878529649944551e-06,6.878529649944551e-06,6.878529649944551e-06,1m,0.0,1756905540,usd,2025-09-03,1m
