decimals,volume24hUSD,price24hChangePercent,address,fdv,liquidity,marketcap,name,rank,price,symbol,ts,volume24hChangePercent,logoURI
6,2379.387313301106,-19.009894680789156,N2maGfVGd6FEyExSsmVHnjDCS5i7H9mY1Hm2e8spump,3829.475544978396,3833.3964726290747,3829.475544978396,REST IN POWER,988,3.829475545043949e-06,RIPGY,1741096802,,https://ipfs.io/ipfs/QmPUrxtM9gS67r6byZg1EFhwmsyusRXR3sdBtVsoHrWcuN
6,1243.869953931867,-13.035407675502588,syE1J6JBjAQfw8Gib3n7xd8tDb7op5gmALH6Pmdpump,3814.744532191211,4090.0964184997674,3814.744532191211,WHACKT,987,3.814744532191211e-06,WHACKT,1741096802,,https://ipfs.io/ipfs/QmXNhUQsxo3aZR5KTwHF9YmUhAcWQFg5t2DbscfVZToPVM
6,3238.6134337311096,-5.253071930441427,Wz9aCjCP6Rn2RfCjsYFgSCmUQsotxsPGG7gsNMRpump,3823.2778192487986,3823.4878183720425,3823.2778192487986,Jackie,986,3.823448611182985e-06,JACKIE,1741096802,,https://ipfs.io/ipfs/QmPMAmYSAU6nmWAR1SPQPnJ85EPykUNyFdojCNmuDTuzMh
6,1803.8799375036313,-2.3168285609361146,HskuMpSk99z9Z8zaKAdbRbnUUbYXq5acdBGoC8popump,4230.474209911789,4216.368133771579,4230.474209911789,Dolly's Tinder Profile,985,4.230474209931652e-06,DOLLYTNDR,1741096802,,https://ipfs.io/ipfs/QmVvp4x1Ujhoz4eYjMfD5T5FhdXbke8VMfZqCF5bp7qCoA
6,2500.7866914097126,104.64049028090254,An9WpGqY49FszZddArs2Ho8JMF1PbZYUAFuNKVWYpump,8992.480438447943,6761.556508651418,8992.480438447943,Death Diving,984,8.992480438447943e-06,DIVE,1741096802,,https://ipfs.io/ipfs/QmasdgwfBitC8827qornqdYN5fUxmFC6sEPAiqHaZWPPyM
6,3594.2925755792376,-0.34380991117461784,nsh8nh9Q95KVzTMghUhcW9uf4qNXM3Gxe5vDgezpump,3903.05056450383,3902.4076796195463,3903.05056450383,Mistow Zensky,983,3.90305056450383e-06,MZ,1741096802,,https://ipfs.io/ipfs/QmWnMwAKUWkJ6TZFmX9H93nqdmcNH1R49xiNGdToPxN2Cd
6,1983.0441267471074,-9.618497725808533,F6e427yMMJtdQ7iQcSmQDUbybZFQwi4bJPAvsgpQpump,3813.8163772089847,3812.313166995956,3813.8163772089847,PWEASE GIB MONEY,982,3.8138163772492164e-06,GIB,1741096802,,https://ipfs.io/ipfs/QmPWMoSBXEp5XbVCjPVEBPEytziVWyjhycDErs6GhgBXf4
6,4070.962952362043,-16.858890938771196,7kspqpWFcL6fyw8RzMHPyFs5381P7bmhauukPKUbpump,3821.2854531585263,3821.4378721179423,3821.2854531585263,trench starter pack ,981,3.821285453158526e-06,TSP6900,1741096802,,https://ipfs.io/ipfs/QmX1zxHwk3PxnBg1vTcivEuEcodcmWTKktALgCq9b2Vsmj
6,2920.9270861044547,-0.13004259127272047,E9XY4ynYsRwaiWrXutrKTeKLof4RTiDuvi1CZMdBpump,3863.065942682212,3863.2129153391356,3863.065942682212,SWAM,980,3.863065942682212e-06,swam,1741096802,,https://ipfs.io/ipfs/QmdwWRXyvD8uPkDP9HcAwMheSHzaRWFEE4rFteJezctmj1
6,50939.553935084514,5964.428379642407,BcW8NChgk1VCAaDyV4aFvxEEoAJ7uCtiAng2t8v8p7hK,4478285923.738126,5617441.357424557,4478285923.738126,Eido DAO,979,0.44782859257523644,EIDO,1741096802,,https://ipfs.io/ipfs/QmQd1qtAEzk9b5375LCWZC8Khpgfkq826pkpwzdkiMqqKy
6,1209.465884108824,-6.287959048168117,2ms3oikGcFWWUvSBAcfNtPXPZQjoPsmmrp5j6NtKpump,4026.816634561534,4021.1234643516377,4026.816634561534,MindShift,978,4.026816634571545e-06,MIND,1741096802,,https://ipfs.io/ipfs/QmPqgdULj3cY1cFSBbs7HdHS8n8LPznpxzmXZd25f3ZYKS
6,531.9302101123435,82.72754202287051,FAsYsxv7gFv8B344zAkiQBWDpAB25E2M5qr3j2RERMTK,1316.1965934200953,1078.5339886212257,1316.1965934200953,PI NETWORK,977,1.3161965934200953e-06,PI,1741096802,,https://ipfs.io/ipfs/bafkreib6h4lmb2hjvqhr3l37qyrxm5xhrur4kmqlcr4mwfps737jmzy4vm
6,2009.1855643808267,-10.237304019481329,GF9qBztraxrypAkYGdTyxe8r3BxEiB2tfofiF7H1pump,3911.5118656589652,4005.820115353865,3911.5118656589652,Meddy AI,976,3.911511865658965e-06,Meddy,1741096802,,https://ipfs.io/ipfs/QmU8KjZ4mi3ytArqwzmgkhr5H7A6vfUxHwwYwNaZFCcWaW
