volume24hChangePercent,logoURI,symbol,name,decimals,fdv,price,marketcap,price24hChangePercent,address,liquidity,ts,volume24hUSD,rank
54.77822308273596,https://imgur.fotofolio.xyz/?w=128&h=128&default=1&url=https%3A%2F%2Fimgur.fotofolio.xyz%2F%3Fw%3D128%26h%3D128%26default%3D1%26url%3Dhttps%253A%252F%252Fimgur.fotofolio.xyz%252F%253Fw%253D128%2526h%253D128%2526default%253D1%2526url%253Dhttps%25253A%25252F%25252Fimgur.com%25252Fa%25252FfwwscDN,KITTY,Roaring Kitty,6,726805.2519279814,0.0009726785006252323,726805.2519279814,-4.693741240863073,EKEWAk7hfnwfR8DBb1cTayPPambqyC7pwNiYkaYQKQHp,271332.1628526762,1740405601,7867.816351622345,984
229.75868123030602,https://bafkreiannreibiwg43euv2pesvjezt7dbulkdhrah5gu7godjcj7mhpyzi.ipfs.nftstorage.link,MYRS,MYR Spot,9,21409593.20192779,0.21958557130182346,21409593.20192779,-1.095264522278465,5wrKvxyGz63psZAjn9zABKgQH9VaCiYehPCCHFLYTrQa,1440724.7484531181,1740405601,7052.376713201202,983
-100,https://ipfs.io/ipfs/QmdLFB8vFi23cydNzjYnCJxCCiJC4KGK6T2jTm7vfmfAD4,DOOM,Doomsday Agent,6,97330.86805624567,9.733147555232054e-05,97330.86805624567,3569.5646383663684,46DxQWF3htXBsT6ji9ScB9coQ4aCqvnXBEAGob7vpump,31920.43286808363,1740405601,44703.111293164315,982
282.8927169295131,https://pump.mypinata.cloud/ipfs/QmR7zz8A5tTGhpsXRgmdYxbYhAQpFWF4nqC5aahuVZ3WT5,MOT,Meme Of Thrones,6,82698.49599933787,8.438719082494348e-05,82698.49599933787,-8.800774843092132,DMNHzC6fprxUcAKM8rEDqVPtTJPYMML3ysPw9yLmpump,40034.29237322176,1740405601,7296.850990596184,981
-19.905717768049417,,DOGE,Department Of Governm (Wormhole),8,38923.68166918919,0.0013042774014692103,38923.68166918919,-8.29205646584193,B54Fyr1XrWNA5RsRRkovoVFwQwzwBfqaJPLoFR4pMoAX,13302.499000788266,1740405602,10970.360432639594,980
189.96290505922505,https://cdn.dexscreener.com/cms/images/ZBpqPEk09XfG4rvr,🧛,Emoji Dracula,9,449963.5739412868,0.00045954139724062516,449963.5739412868,-2.96782439325272,FCzioYCxRXWbFAoG1pBmAsWXnEFdLLs5znH2azwjJ2fY,100291.35211512183,1740405602,36000.76310969582,979
,https://ipfs.io/ipfs/QmPKga6Rn3QNqiLJbg4Rfuf25ghswBCKS8pLVespDh6oHG,JAKED,IM JAKING IT,6,4769.9218563280365,4.769921856328037e-06,4769.9218563280365,3.7214242245743425,7KspdSJMVXyEDN315jFW4ENehrrXrcqTTvqb6gvSpump,4764.584376774434,1740405602,12327.210877311933,978
124.10707418445813,https://bafybeibvqlx27ofhmlvca5bcttpgf7bnbkgqvefo4vio5rwtiyi4ztinbe.ipfs.nftstorage.link,JESUS,Jesus Coin,4,7170711.337800697,4.5809120427569125e-08,7170711.337800697,-1.0302968190388075,FQddEUoqKPnAsc4UTkAdAUV3LnCXoZEJMazguC1N11kC,25452.22738361799,1740405602,3617.947546647614,977
87.09978821850171,https://ipfs.io/ipfs/QmX7JNP9yDupo2HZeLQhymXGWgDcj1XUc5oXgUC6da1DJT,1,NATURE OF WORLD,6,59312.84060219825,5.931284060253622e-05,59312.84060219825,17.081165447934136,CZF3LTxd4MYwzJwAeGDEsF3Fv7gGADZUaTwEoqwpump,25758.913284167425,1740405602,6548.198458635026,976
-57.503838861841416,https://i.ibb.co/Wxg8hkZ/88-A16-E3-A-AD12-49-E5-97-C0-6-C113-B677-CE2.jpg,Doge,Doge,6,101764.54170895557,0.00010181836682229271,101764.54170895557,-3.258375664287089,Hk82ay38uGpYgqjdXXCiATavVQwAMaBNyxsUWbapmKuL,55523.45560759812,1740405602,1384.2280756358348,975
