address,high,open,low,close,type,volume,ts,currency,date
HDonVHSvS2i2dkZZmcswvmYeA8feL1VJMxjKhCgQwgNC,3.696932424581276e-06,3.696932424581276e-06,3.696932424581276e-06,3.696932424581276e-06,12H,0,1763596800,usd,2025-11-20
HDonVHSvS2i2dkZZmcswvmYeA8feL1VJMxjKhCgQwgNC,3.696932424581276e-06,3.696932424581276e-06,3.696932424581276e-06,3.696932424581276e-06,12H,0,1763640000,usd,2025-11-20
HDonVHSvS2i2dkZZmcswvmYeA8feL1VJMxjKhCgQwgNC,3.696932424581276e-06,3.696932424581276e-06,3.696932424581276e-06,3.696932424581276e-06,12H,0,1763683200,usd,2025-11-21
HDonVHSvS2i2dkZZmcswvmYeA8feL1VJMxjKhCgQwgNC,3.696932424581276e-06,3.696932424581276e-06,3.696932424581276e-06,3.696932424581276e-06,12H,0,1763726400,usd,2025-11-21
HDonVHSvS2i2dkZZmcswvmYeA8feL1VJMxjKhCgQwgNC,3.696932424581276e-06,3.696932424581276e-06,3.696932424581276e-06,3.696932424581276e-06,12H,0,1763769600,usd,2025-11-22
HDonVHSvS2i2dkZZmcswvmYeA8feL1VJMxjKhCgQwgNC,3.696932424581276e-06,3.696932424581276e-06,3.696932424581276e-06,3.696932424581276e-06,12H,0,1763812800,usd,2025-11-22
HDonVHSvS2i2dkZZmcswvmYeA8feL1VJMxjKhCgQwgNC,3.696932424581276e-06,3.696932424581276e-06,3.696932424581276e-06,3.696932424581276e-06,12H,0,1763856000,usd,2025-11-23
HDonVHSvS2i2dkZZmcswvmYeA8feL1VJMxjKhCgQwgNC,3.696932424581276e-06,3.696932424581276e-06,3.696932424581276e-06,3.696932424581276e-06,12H,0,1763899200,usd,2025-11-23
HDonVHSvS2i2dkZZmcswvmYeA8feL1VJMxjKhCgQwgNC,3.696932424581276e-06,3.696932424581276e-06,3.696932424581276e-06,3.696932424581276e-06,12H,0,1763942400,usd,2025-11-24
HDonVHSvS2i2dkZZmcswvmYeA8feL1VJMxjKhCgQwgNC,3.696932424581276e-06,3.696932424581276e-06,3.696932424581276e-06,3.696932424581276e-06,12H,0,1763985600,usd,2025-11-24
HDonVHSvS2i2dkZZmcswvmYeA8feL1VJMxjKhCgQwgNC,3.696932424581276e-06,3.696932424581276e-06,3.696932424581276e-06,3.696932424581276e-06,12H,0,1764028800,usd,2025-11-25
HDonVHSvS2i2dkZZmcswvmYeA8feL1VJMxjKhCgQwgNC,3.696932424581276e-06,3.696932424581276e-06,3.696932424581276e-06,3.696932424581276e-06,12H,0,1764072000,usd,2025-11-25
HDonVHSvS2i2dkZZmcswvmYeA8feL1VJMxjKhCgQwgNC,3.696932424581276e-06,3.696932424581276e-06,3.696932424581276e-06,3.696932424581276e-06,12H,0,1764115200,usd,2025-11-26
HDonVHSvS2i2dkZZmcswvmYeA8feL1VJMxjKhCgQwgNC,3.696932424581276e-06,3.696932424581276e-06,3.696932424581276e-06,3.696932424581276e-06,12H,0,1764158400,usd,2025-11-26
HDonVHSvS2i2dkZZmcswvmYeA8feL1VJMxjKhCgQwgNC,3.696932424581276e-06,3.696932424581276e-06,3.696932424581276e-06,3.696932424581276e-06,12H,0,1764201600,usd,2025-11-27
HDonVHSvS2i2dkZZmcswvmYeA8feL1VJMxjKhCgQwgNC,3.696932424581276e-06,3.696932424581276e-06,3.696932424581276e-06,3.696932424581276e-06,12H,0,1764244800,usd,2025-11-27
HDonVHSvS2i2dkZZmcswvmYeA8feL1VJMxjKhCgQwgNC,3.696932424581276e-06,3.696932424581276e-06,3.696932424581276e-06,3.696932424581276e-06,12H,0,1764288000,usd,2025-11-28
