address,name,symbol,url
2GGVyPSfYsnadtzUFUH6YnSx4hpRvFP99VHTPdADpump,Nick CannonCANNON,,https://pump.fun/coin/2GGVyPSfYsnadtzUFUH6YnSx4hpRvFP99VHTPdADpump
47aoDH3w3xx4d5RDfE7negKNJok1bCiDyHFPEL7fpump,Nick CannonCANNONBALL,,https://pump.fun/coin/47aoDH3w3xx4d5RDfE7negKNJok1bCiDyHFPEL7fpump
9T8xZ5kj34rCTMKLM4tGP6wNxpnC5rec9dtJbHEEpump,NICK,CANNONNick,https://pump.fun/coin/9T8xZ5kj34rCTMKLM4tGP6wNxpnC5rec9dtJbHEEpump
BP5qsPYP27btzqHqJsEZAvgkzXTdkwenyceCD7utpump,Nick CannonCANNON,,https://pump.fun/coin/BP5qsPYP27btzqHqJsEZAvgkzXTdkwenyceCD7utpump
8ktAQcVxH6uk2xztrqK9VX15ck5aXws8Q9NkJidhpump,Nick CannonNickCan,,https://pump.fun/coin/8ktAQcVxH6uk2xztrqK9VX15ck5aXws8Q9NkJidhpump
CuiXDShUiJiZP8sFJdNwUGZq83iMzaEk5epaCoEvpump,Nick CannonCANNON,,https://pump.fun/coin/CuiXDShUiJiZP8sFJdNwUGZq83iMzaEk5epaCoEvpump
Fq65CuhTc3jD3QVeRGU3h8mULThPJ5UyEra2h8F5pump,Nick CannonCannon,,https://pump.fun/coin/Fq65CuhTc3jD3QVeRGU3h8mULThPJ5UyEra2h8F5pump
EXaTvMfFVUCMwrPy2tedySMs8Yopq7BaPL9EgZB9pump,Nick CannonCANNON,,https://pump.fun/coin/EXaTvMfFVUCMwrPy2tedySMs8Yopq7BaPL9EgZB9pump
4DNdCkYFbvzR1cLhDuuxuruTnPmftYXQ1eABGz7ypump,NICK CANNONWILDNOUT,,https://pump.fun/coin/4DNdCkYFbvzR1cLhDuuxuruTnPmftYXQ1eABGz7ypump
GyN84fYvekvf7FiMaWxsy86XTVtswhXemrxQAJDupump,Nick CannonCannon,,https://pump.fun/coin/GyN84fYvekvf7FiMaWxsy86XTVtswhXemrxQAJDupump
3HMhVWyyhCcZTKg4LMVWyyBXdBFdVpfSgdm4cmN8pump,Nick CannonNick,,https://pump.fun/coin/3HMhVWyyhCcZTKg4LMVWyyBXdBFdVpfSgdm4cmN8pump
