Date,Dex,symbol,TokenAddress,count,high,median,volume
2024-08-29 00:00:00,raydium_amm,WSOL,So11111111111111111111111111111111111111112,9049200,4075.880480957031,26.687558318966126,6081970746.180366
2024-08-29 00:00:00,lb_clmm,WSOL,So11111111111111111111111111111111111111112,3446327,4133.250258498518,1143.176034729183,5550403275.9504795
2024-08-29 00:00:00,raydium_amm,r/snoofi,7M9KJcPNC65ShLDmJmTNhVFcuY95Y1VMeYngKgt67D1t,955836,4142.45461932242,2115.789756486348,2149084045.4658318
2024-08-29 00:00:00,lb_clmm,r/snoofi,7M9KJcPNC65ShLDmJmTNhVFcuY95Y1VMeYngKgt67D1t,872267,4147.701366201214,2175.5715689870476,2145179654.3180513
2024-08-29 00:00:00,whirlpool,WSOL,So11111111111111111111111111111111111111112,1091574,7210.733482966675,191.91522947436323,1381487724.585944
2024-08-29 00:00:00,raydium_amm,vibes,Ed1yisBEAo8UXToSswvVFgzyJKpF48HEdq5kvz2zpump,681355,3620.250457604716,1874.200402833263,1365147008.6208086
2024-08-29 00:00:00,lb_clmm,vibes,Ed1yisBEAo8UXToSswvVFgzyJKpF48HEdq5kvz2zpump,670714,3599.8268642790918,1874.7428727724123,1364964593.5022025
2024-08-29 00:00:00,raydium_amm,FWOG,A8C3xuqscfmyLrte3VmTqrAq8kgMASius9AFNANwpump,358409,4220.973435750182,4015.0235917388422,1033681662.678178
2024-08-29 00:00:00,lb_clmm,FWOG,A8C3xuqscfmyLrte3VmTqrAq8kgMASius9AFNANwpump,215012,4228.245389998962,4028.1058251243003,664977354.6582445
2024-08-29 00:00:00,whirlpool,USDC,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,740850,7993.350883117188,72.52283753634643,621144314.3290303
2024-08-29 00:00:00,Lifinity,WSOL,So11111111111111111111111111111111111111112,350412,8684.485473632812,319.2622366107104,455235209.6139722
2024-08-29 00:00:00,Lifinity,USDC,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,338963,9850.100853556924,283.85374028250567,424020865.2078771
2024-08-29 00:00:00,raydium_amm,wDOG,GYKmdfcUmZVrqfcH1g579BGjuzSRijj3LBuwv79rpump,241964,3326.0213573946617,1817.1665331587328,393696585.76579756
2024-08-29 00:00:00,lb_clmm,wDOG,GYKmdfcUmZVrqfcH1g579BGjuzSRijj3LBuwv79rpump,156133,3338.284750849963,3136.208393384843,388861543.20459455
2024-08-29 00:00:00,lb_clmm,USDC,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,644112,3888.232176180968,123.91598551291436,326277675.3132983
2024-08-29 00:00:00,whirlpool,FWOG,A8C3xuqscfmyLrte3VmTqrAq8kgMASius9AFNANwpump,106168,4222.775004832269,4023.950945387067,354357951.938391
2024-08-29 00:00:00,raydium_amm,SCF,GiG7Hr61RVm4CSUxJmgiCoySFQtdiwxtqf64MsRppump,131779,4361.533646313864,3638.8860226989286,342807050.52006376
2024-08-29 00:00:00,phoenix_v1,USDC,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,228111,8211.147331109762,301.1231652322756,320669505.28646094
2024-08-29 00:00:00,phoenix_v1,WSOL,So11111111111111111111111111111111111111112,172916,10183.713477957339,543.2612153743557,304255461.9687109
2024-08-29 00:00:00,whirlpool,SCF,GiG7Hr61RVm4CSUxJmgiCoySFQtdiwxtqf64MsRppump,62801,4399.508589823753,4259.44890912417,194923027.0894683
2024-08-29 00:00:00,raydium_amm,MUMU,5LafQUrVco6o7KMz42eqVEJ9LW31StPyGjeeu5sKoMtA,62006,4127.037055952545,4018.5772214550316,150088894.52975157
2024-08-29 00:00:00,lb_clmm,MUMU,5LafQUrVco6o7KMz42eqVEJ9LW31StPyGjeeu5sKoMtA,51032,4132.319176757257,4031.7184352772656,147678968.9858455
2024-08-29 00:00:00,lb_clmm,SCF,GiG7Hr61RVm4CSUxJmgiCoySFQtdiwxtqf64MsRppump,55959,3793.144927947954,3593.740724027715,128757821.10451958
2024-08-29 00:00:00,whirlpool,POPCAT,7GCihgDB8fe6KNjn2MYtkzZcRjQy3t9GHdC8uHYmW2hr,99090,5942.593446324696,246.63283639324186,90969523.42878865
2024-08-29 00:00:00,whirlpool,JLP,27G8MtK7VtTcCHkpASjSDdkWWYfoqT6ggEuKidVJidD4,79924,5589.483217832933,404.75470679695104,76118366.28864753
2024-08-29 00:00:00,phoenix_v1,POPCAT,7GCihgDB8fe6KNjn2MYtkzZcRjQy3t9GHdC8uHYmW2hr,71136,5442.665697706863,576.2732781666518,78313933.65189758
2024-08-29 00:00:00,lb_clmm,JLP,27G8MtK7VtTcCHkpASjSDdkWWYfoqT6ggEuKidVJidD4,106013,4159.191502133186,143.85004325833143,60782234.28680893
2024-08-29 00:00:00,raydium_amm,BB,5EgzypuMLFUBDacgZqJcuL7eKtpSJuKgNu7i7Kdypump,92720,817.251660585841,701.9317565669369,58727782.686260045
2024-08-29 00:00:00,lb_clmm,BB,5EgzypuMLFUBDacgZqJcuL7eKtpSJuKgNu7i7Kdypump,90855,817.5757062651179,705.5173616106076,58480964.97721039
2024-08-29 00:00:00,whirlpool,$WIF,EKpQGSJtjMFqKZ9KQanSqYXRcF8fBopzLHYxdM65zcjm,89156,3644.2854344121133,188.9026497455049,52397716.521124355
2024-08-29 00:00:00,phoenix_v1,$WIF,EKpQGSJtjMFqKZ9KQanSqYXRcF8fBopzLHYxdM65zcjm,24228,11614.368276501067,656.1335801230668,47541295.50189004
