Amount,PostBalance,Decimals,EditionNonce,Fungible,IsMutable,Key,MetadataAddress,MintAddress,Name,Native,PrimarySaleHappened,ProgramAddress,Symbol,TokenCreator,TokenStandard,UpdateAuthority,Uri,VerifiedCollection,Wrapped,Time,Height
1000000000.000000,1000000000.000000,6,0,True,False,,2CQuCQu9caxNp4fEH1ubAbQj6STbqFFxfjQG3mCWkRNh,EgAT91b56bRhiXnTkXTDXs5DtdfijGNem65g4tLHpump,The Cash cow,False,False,TokenkegQfeZyiNwAJbNbGKPFXCWuBvf9Ss623VQ5DA,Cash Cow,[],Fungible,TSLvdd1pWpHVjahSpsvCXUbgwsL3JAcvokwaKt1eokM,https://metadata.uxento.io/data/3bv4bDqekjML8FcGcjpeEaX7rhnH45wX8BPQaymbyQ8D,False,False,2025-09-05T13:19:13Z,343002194
1000000000.000000,1000000000.000000,6,0,True,False,,CQMp4PHz8SVEunZtPr4UEqfzhjtbWhom4gorRT2RUXzw,4y1jGv1ygTz35qz2eDY5VtMsEgJr87RphU6ojcXFQgbG,Meditating ChipMonk,False,False,TokenkegQfeZyiNwAJbNbGKPFXCWuBvf9Ss623VQ5DA,ZACKARY,[],Fungible,TSLvdd1pWpHVjahSpsvCXUbgwsL3JAcvokwaKt1eokM,https://ipfs.io/ipfs/QmWtat2Bgqiipofj4zL5iLSXaRaMCJp4q3qx731TCH116o,False,False,2025-09-05T13:19:16Z,343002201
1000000000.000000,1000000000.000000,6,0,True,False,,4nQwKDcSAPuEE75DKe2nV6ePi1kk5nxNraFoYqY5PE2s,9pw3LnhJeFsPrVcQaGQHpGJBHL1MgMCnrBCqC77rpump,NationalCheezePizzaDay,False,False,TokenkegQfeZyiNwAJbNbGKPFXCWuBvf9Ss623VQ5DA,Pizza,[],Fungible,TSLvdd1pWpHVjahSpsvCXUbgwsL3JAcvokwaKt1eokM,https://ipfs.io/ipfs/bafkreicae7afjgnzl5leyfpg44z45uajou5c3m4wc4qjdk4giy7ffb5upq,False,False,2025-09-05T13:19:25Z,343002223
1000000000.000000,1000000000.000000,6,0,True,False,,9Z61C8cgiqFsnhctHkfsMK4C73tcJK9Kr3caf6NJHp1V,Az1MdNXTc5JuKEx5iSEKgzzr95KNfhDorQtGAhcCpump,BackRooms Live,False,False,TokenkegQfeZyiNwAJbNbGKPFXCWuBvf9Ss623VQ5DA,Backrooms,[],Fungible,TSLvdd1pWpHVjahSpsvCXUbgwsL3JAcvokwaKt1eokM,https://ipfs.io/ipfs/bafkreifapnjyugbk4angwgaau7bwmypubeqaf33nwbykz6tnth52airgye,False,False,2025-09-05T13:19:26Z,343002224
1000000000.000000,1000000000.000000,6,0,True,False,,4MYeJ8dp8XXQK4fwwZz5ybtBAZPYKUSohxmh73KroX6L,46sCNp5o1Hxp7H9CNdTMkBSdHqpwWiefGdQyicB6pump, 101 DOG$ DALMATIAN,False,False,TokenkegQfeZyiNwAJbNbGKPFXCWuBvf9Ss623VQ5DA, 101 DOG$,[],Fungible,TSLvdd1pWpHVjahSpsvCXUbgwsL3JAcvokwaKt1eokM,https://ipfs.io/ipfs/bafkreieqlrdizhpun2coeecovdfcdzv4zr2avwytjingthiqvi27ghw6xu,False,False,2025-09-05T13:19:28Z,343002229
1000000000.000000,1000000000.000000,6,0,True,False,,3QcAftFdtAM4KvojidA5vfLe9guKwvb5fu9DqZTyqvY2,Cn6qy6vstnGoUjZyS8YNRGxoMqJL2rjMrne7Ctq4nEGQ,EVERYTHING,False,False,TokenkegQfeZyiNwAJbNbGKPFXCWuBvf9Ss623VQ5DA,EVERYTHING,[],Fungible,TSLvdd1pWpHVjahSpsvCXUbgwsL3JAcvokwaKt1eokM,https://eu.j7tracker.com/metadata/oa1klfk3d6pbc2yi.json,False,False,2025-09-05T13:19:28Z,343002230
1000000000.000000,1000000000.000000,6,0,True,False,,DotskmY3VSzDfh4YCbDAGZ6sAPrPyb613HB6GSYPRd5f,Ek6Gp47UpRVqhtjJ8b2Q7HMreBg2f6qe7p9MhNvPpump,Tokenized Culture,False,False,TokenkegQfeZyiNwAJbNbGKPFXCWuBvf9Ss623VQ5DA,CULTURE,[],Fungible,TSLvdd1pWpHVjahSpsvCXUbgwsL3JAcvokwaKt1eokM,https://rapidlaunch.io/temp/metadata/c995aaa7-2d47-446d-a7af-ba4241a889ca.json,False,False,2025-09-05T13:19:32Z,343002241
1000000000.000000,1000000000.000000,6,0,True,False,,E8Wy72ZvvD3vg4aXuKaKo9scS5tpx1drdbm4Gn1TXJvW,5YWVHpUda2nw3QrHi44MSVvh4iHL2MpZ3jajJ3mFpump,Cronos: The New Dawn,False,False,TokenkegQfeZyiNwAJbNbGKPFXCWuBvf9Ss623VQ5DA,CRONOS,[],Fungible,TSLvdd1pWpHVjahSpsvCXUbgwsL3JAcvokwaKt1eokM,https://ipfs.io/ipfs/bafkreid75ysq3dqvjlwikalfj52yf4tdnq3idgwe5tbi3ngmi4lp7z5ili,False,False,2025-09-05T13:19:32Z,343002241
1000000000.000000,1000000000.000000,6,0,True,False,,ADQm6SikW3ee63i5RyiqiHjdLn4u5CQ1KjEgT1QoAA6G,EvT3c7fuq8f3QASQAm551R2i7MpLEBGrivwZWDq3kknC,EVERYTHING COIN,False,False,TokenkegQfeZyiNwAJbNbGKPFXCWuBvf9Ss623VQ5DA,EVERYTHING,[],Fungible,TSLvdd1pWpHVjahSpsvCXUbgwsL3JAcvokwaKt1eokM,https://eu.j7tracker.com/metadata/bpb45iu69c5w3wpn.json,False,False,2025-09-05T13:19:34Z,343002245
1000000000.000000,1000000000.000000,6,0,True,False,,ADQm6SikW3ee63i5RyiqiHjdLn4u5CQ1KjEgT1QoAA6G,EvT3c7fuq8f3QASQAm551R2i7MpLEBGrivwZWDq3kknC,EVERYTHING COIN,False,False,TokenkegQfeZyiNwAJbNbGKPFXCWuBvf9Ss623VQ5DA,EVERYTHING,[],Fungible,TSLvdd1pWpHVjahSpsvCXUbgwsL3JAcvokwaKt1eokM,https://eu.j7tracker.com/metadata/bpb45iu69c5w3wpn.json,False,False,2025-09-05T13:19:34Z,343002245
